Window	CG_Weighted_mC	CA_Weighted_mC	CT_Weighted_mC	CC_Weighted_mC	CH_Weighted_mC
1	0.4329381023985012	0.031990150044043514	0.01015015159664855	0.0033102005286737637	0.017084576766452173
2	0.4318760775030234	0.03133881991495551	0.010356845498601653	0.00338318294713726	0.016947814185276605
3	0.42403262757735205	0.030732142184498323	0.010122543104604082	0.0031408316269507827	0.016513775911317786
4	0.41780365203118586	0.030706153768995437	0.010063695300275914	0.003099165106181158	0.01650574054795467
5	0.4066383938420807	0.029924521748759855	0.010624492449811548	0.003314457639763707	0.016422984875774097
6	0.40568069097331433	0.029798791893113085	0.009786154403769481	0.003225965125144492	0.016069517070448493
7	0.3993729820785176	0.029718046457441263	0.009940961732820086	0.0029608369519049564	0.01601326842354141
8	0.39251265399675295	0.030227922606499553	0.009829080248804743	0.003074349053644254	0.01617144305950862
9	0.36770139558965426	0.029812870738414134	0.009890711629286545	0.0030057171683201614	0.015975046368643924
10	0.3669530793108102	0.02953697773424255	0.010215162454873646	0.0033702087149432417	0.016058349743849072
11	0.350150381040682	0.029758836700019907	0.009565822669560594	0.0031427748423238475	0.015855095072044915
12	0.3418475173275764	0.029527820147224618	0.009858203115737558	0.0031317702145502832	0.015867937049677663
13	0.3341355345133938	0.030006135653726014	0.009711138111619297	0.0029844494476150584	0.015949029234448773
14	0.3254857092565293	0.030041143992488997	0.009528487229862475	0.0034294446816639326	0.015983777525448002
15	0.31508196721311477	0.02990866913717137	0.009841019950747482	0.0034349943521656203	0.01611906048904578
16	0.30563625798954097	0.029855768219739415	0.009649243885762711	0.0035359313718566227	0.01598417339239132
17	0.30627607473245055	0.03075627296539341	0.010108384343235806	0.002969489472476056	0.01639856805640232
18	0.3044568782558364	0.03137145147029826	0.009838493786393255	0.0030065023179325755	0.016549837240107706
19	0.3175199416664825	0.03108752484554151	0.00994854565602524	0.003232264253242691	0.016587189581955226
20	0.319926267281106	0.027649235676169316	0.01010613054920402	0.0029807881722325328	0.01504227533380771
21	0.4976082927316516	0.02529829119055568	0.008857678528561836	0.002745500268539398	0.013398642063182063
22	0.5823324883292469	0.025142660125581816	0.008757000370817605	0.002833883790018754	0.013408205363282145
23	0.6410543667877663	0.02684435924376202	0.008882723137170392	0.0028181925447234905	0.014234001430874863
24	0.6566960924107215	0.026678116772202668	0.008905363792855135	0.0029583360046893745	0.014161318727510572
25	0.6766919775503466	0.0268568654311787	0.008788373546189353	0.002773995057245171	0.014188268044578761
26	0.6749652005567911	0.02673651465477863	0.009202165067564173	0.002879998624478269	0.014323696135645369
27	0.70507548937116	0.02648199090429085	0.008879991624445199	0.002935795801027964	0.014140665313176698
28	0.6957228767795778	0.027087801646210684	0.009106365635483803	0.0027644245987363835	0.014424057305744892
29	0.6947941944050181	0.02658994027812868	0.009321767164670825	0.0030088603231889052	0.014399866474724082
30	0.7013445744603533	0.02728371335331477	0.00906856097546901	0.002955485476126333	0.014506359036233579
31	0.7020947849153608	0.026574594618564523	0.008789987734276658	0.0029861407720517845	0.01416361532637834
32	0.7069199457259159	0.027402569766734896	0.009382424766955343	0.003002496457728898	0.014665224420302872
33	0.6961719256537714	0.026101792726223483	0.009060657428242587	0.002841498473667052	0.013996057937888391
34	0.6943382580845129	0.026445570642856808	0.009052100092337048	0.002970496775584882	0.014175868061372617
35	0.7174749254053276	0.02679687117846645	0.009127177473431327	0.002790587988680432	0.014267491527394472
36	0.7184024152176873	0.026087087332321856	0.008768204169852101	0.002794622172146194	0.01388937294518104
37	0.7141160099107355	0.02632467521504605	0.009076981558061581	0.002935887896825397	0.014109162544281607
38	0.7113924306615841	0.025987708174297776	0.008791799439474796	0.0028612181344971417	0.013845399780859862
39	0.7166145620161452	0.02531675822581251	0.008598394768133176	0.002755525324767208	0.013470915515327359
40	0.7170905239718123	0.02616323682964238	0.009126061051256937	0.0029794138330124557	0.014048106947344699
41	0.6070479122109177	0.027915351462243176	0.00902595136665644	0.003214025893177072	0.015052065426034614
42	0.596713508612874	0.029147534018077067	0.008977771986000447	0.0031254650989730615	0.015806327130915232
43	0.5879527716629978	0.030323376577905105	0.009492083878887999	0.0032622783957352392	0.016506606144389657
44	0.5875071217693064	0.03029193272187521	0.00980746480738624	0.003111617065105437	0.01654556430069061
45	0.5766144942785743	0.03048032942460665	0.009683801943882468	0.0031179373312619175	0.016573710021251926
46	0.569161534817622	0.030867870606959683	0.009750374236355545	0.003241662088561772	0.016774676302918085
47	0.5596357305477434	0.03112694233648237	0.009612156471306608	0.003213216791043429	0.0167874204713589
48	0.5550603181381446	0.03092100920761691	0.009747341022303999	0.003148208230977941	0.016695941130663205
49	0.5575262665140955	0.030905236143641795	0.009792824388700484	0.003207225145782961	0.016710911750173266
50	0.5427785276710622	0.03134215872599777	0.00961348067625864	0.0031670370489656134	0.01685012019369012
51	0.5416445220560322	0.03105248188639326	0.009844937779281124	0.0033399200996606384	0.016865759788802212
52	0.5530937098844673	0.03218872167266651	0.010216887191379075	0.0032446532902142256	0.017439639998671583
53	0.5432814485387548	0.03193621115845033	0.010068899652090865	0.003209450443879094	0.0171870127747846
54	0.5406118839585038	0.03113067047613462	0.010327743815149648	0.003017386749330865	0.01694619674759121
55	0.536780340753102	0.03204439820796349	0.010304659498207885	0.003245620902937429	0.017316995219378167
56	0.5350022807158764	0.03232370946619908	0.010496945758508245	0.0031983132281237867	0.017470069789556095
57	0.5476065519432092	0.032030872718414656	0.010218995089483115	0.0034189593519667228	0.017340083431762784
58	0.5287747100594961	0.03177387031152588	0.010422112098023678	0.003224069087194726	0.017310566429287855
59	0.5403980314747715	0.03229476175353574	0.010050203566446175	0.003551026709896557	0.017384751988290505
60	0.5374115401945453	0.03181473441954128	0.010271645256590559	0.003261600046750818	0.01715979606096034
