Window	CG_Weighted_mC	CA_Weighted_mC	CT_Weighted_mC	CC_Weighted_mC	CH_Weighted_mC
1	0.4138082603414104	0.02436359486796576	0.007719923030529308	0.002460985298490386	0.012806126159824611
2	0.4059113625492751	0.02381120604152115	0.007689251585848735	0.002555682309029893	0.01263932732227761
3	0.40562154246664495	0.02341979076836206	0.007619524482046245	0.002555483069405258	0.012423484213127134
4	0.3988188847388769	0.023478914650690193	0.007609742843502778	0.0024745482001071657	0.012421816100298775
5	0.3910655582248072	0.02329550093900547	0.0075394118702327055	0.0025569779457189318	0.012342995885319188
6	0.3922652368073464	0.023310749848258667	0.0072439164605703306	0.0024535079039694502	0.012217459633584886
7	0.37976436403259856	0.0231622044346306	0.007413498590535713	0.0025229075530593752	0.012235381248900317
8	0.37144278226269273	0.02343323794078711	0.007455956458796447	0.002414277640519274	0.012316459740554333
9	0.35431219724025365	0.023423414870336702	0.007336614824203692	0.002536564535069926	0.012270681349458665
10	0.34127630734622955	0.022831574337893026	0.007517392725405052	0.0024214043002769767	0.012038416554999177
11	0.3298036933471491	0.022760810092508157	0.007467639541594525	0.0024350263181796557	0.012000318302939617
12	0.31668898667176837	0.022877835195129228	0.007358568071446295	0.0024485769652821555	0.0119909861252814
13	0.3052443156974202	0.02225333955235085	0.007354937800179896	0.002343655985935129	0.011727356869370572
14	0.29744259897487285	0.022194899864702886	0.007392388362324043	0.0024624576134345227	0.011709993030924785
15	0.28843011542979385	0.02242136132890144	0.007049838766040457	0.0023759792319551637	0.011698020802037738
16	0.27912516524220254	0.02253805344995453	0.007093361485158522	0.002468481945547828	0.011722539570454276
17	0.26437563797209934	0.022608012585971775	0.007351967986483796	0.0023959140340305872	0.011836231544566332
18	0.2604440872098865	0.02295271991488995	0.007030398227096337	0.0023892739371680193	0.011840197846854769
19	0.2667365363046316	0.023197367132067902	0.0070748912123181126	0.002442920071286862	0.01196243443245439
20	0.2715432676345417	0.02030642037890486	0.006890950674715778	0.0023655710908652814	0.010623049624368823
21	0.45621477143716743	0.01841797734472217	0.006291292904334748	0.00207833411982048	0.009557474935628
