Feature	CG_Weighted_mC	CA_Weighted_mC	CT_Weighted_mC	CC_Weighted_mC	CH_Weighted_mC
ENSTGUG00000004696	0.7763157894736842	0.014084507042253521	0.02734375	0.0	0.014844804318488529
ENSTGUG00000004719	0.6666666666666666	0.022988505747126436	0.0	0.0	0.0070921985815602835
ENSTGUG00000004731	0.7692307692307693	0.04040404040404041	0.0	0.0	0.013333333333333334
ENSTGUG00000004746	0.7058823529411765	0.02666666666666667	0.02702702702702703	0.0	0.019867549668874173
ENSTGUG00000004760	0.49870801033591733	0.015899581589958158	0.0028641571194762683	0.00246669955599408	0.007287567409998542
ENSTGUG00000004803	0.5523012552301255	0.011092150170648464	0.003925417075564278	0.0013908205841446453	0.006185567010309278
ENSTGUG00000004832	0.6695652173913044	0.018229166666666668	0.0	0.0025252525252525255	0.006974716652136007
ENSTGUG00000004853	0.8461538461538461	0.047619047619047616	0.0	0.0	0.014705882352941176
ENSTGUG00000004856	0.6772151898734177	0.04849884526558892	0.002398081534772182	0.008849557522123894	0.021026072329688814
ENSTGUG00000004877	0.8823529411764706	0.0165016501650165	0.004048582995951417	0.0	0.007863695937090432
ENSTGUG00000004890	0.5520945220193341	0.01346389228886169	0.002399160293897136	0.0023757309941520467	0.006566122909613214
ENSTGUG00000004895	0.6	0.015906680805938492	0.0011173184357541898	0.0013531799729364006	0.006596818005432673
ENSTGUG00000004934	0.3333333333333333	0.0	0.0053475935828877	0.0	0.002178649237472767
ENSTGUG00000004945	0.11764705882352941	0.0	0.0	0.0	0.0
ENSTGUG00000004947	0.5714285714285714	0.010526315789473684	0.00411522633744856	0.004347826086956522	0.006596306068601583
ENSTGUG00000004960	0.8074074074074075	0.0072992700729927005	0.005298013245033113	0.0015220700152207	0.004923903312444047
ENSTGUG00000004993	0.8467153284671532	0.006896551724137931	0.002890173410404624	0.007957559681697613	0.006044905008635579
ENSTGUG00000004997	0.8100558659217877	0.037527593818984545	0.02028397565922921	0.0024509803921568627	0.0206794682422452
ENSTGUG00000004998	0.8270676691729323	0.013927576601671309	0.003067484662576687	0.006211180124223602	0.007944389275074478
ENSTGUG00000005028	0.46835443037974683	0.0072992700729927005	0.003389830508474576	0.0	0.00390625
ENSTGUG00000005059	0.2	0.024390243902439025	0.0	0.0	0.00966183574879227
ENSTGUG00000005062	0.5630252100840336	0.010022779043280182	0.005141388174807198	0.004073319755600814	0.0067699982184215215
ENSTGUG00000005112	0.49056603773584906	0.00718132854578097	0.0018148820326678765	0.0	0.003589375448671931
ENSTGUG00000005116	0.6666666666666666	0.006578947368421052	0.0	0.01694915254237288	0.005847953216374269
ENSTGUG00000005124	0.32432432432432434	0.023411371237458192	0.021021021021021023	0.009708737864077669	0.01909307875894988
ENSTGUG00000005133	0.45161290322580644	0.024390243902439025	0.023809523809523808	0.0	0.016
ENSTGUG00000005144	0.8333333333333334	0.014218009478672985	0.004761904761904762	0.0	0.006578947368421052
ENSTGUG00000005147	0.8260869565217391	0.0	0.013793103448275862	0.0	0.004310344827586207
ENSTGUG00000005151	0.6775956284153005	0.0266812865497076	0.010199918400652794	0.0027235587834770767	0.014073071718538565
ENSTGUG00000005220	0.7065217391304348	0.008450704225352112	0.006329113924050633	0.0	0.005128205128205128
ENSTGUG00000005244	0.7391304347826086	0.041666666666666664	0.020833333333333332	0.0	0.02097902097902098
ENSTGUG00000005255	0.44329896907216493	0.02799097065462754	0.009573542210617928	0.001260239445494644	0.014098360655737704
ENSTGUG00000005268	0.875	0.03807615230460922	0.011560693641618497	0.0025974025974025974	0.018531717747683536
ENSTGUG00000005326	0.6878612716763006	0.04139715394566624	0.021791767554479417	0.00686106346483705	0.02474793767186068
ENSTGUG00000005348	1.0	0.07142857142857142	0.0	0.01818181818181818	0.03982300884955752
ENSTGUG00000005420	0.8520710059171598	0.011737089201877934	0.0024154589371980675	0.0	0.004966887417218543
ENSTGUG00000005437	0.6654545454545454	0.017264276228419653	0.005686433793663688	0.004219409282700422	0.010040705563093623
ENSTGUG00000005496	0.4594594594594595	0.03471295060080107	0.005115089514066497	0.0049586776859504135	0.01544943820224719
ENSTGUG00000005526	0.840531561461794	0.004262574595055414	0.001759014951627089	0.003973509933774834	0.0032626427406199023
ENSTGUG00000005528	0.625	0.03787878787878788	0.01749271137026239	0.007556675062972292	0.022915974759216206
ENSTGUG00000005541	0.8369565217391305	0.024271844660194174	0.00663716814159292	0.005154639175257732	0.011980830670926517
ENSTGUG00000005582	0.8307692307692308	0.05642633228840126	0.011764705882352941	0.003861003861003861	0.026410564225690276
ENSTGUG00000005618	0.9	0.02666666666666667	0.003745318352059925	0.0	0.011688311688311689
ENSTGUG00000005646	0.5384615384615384	0.056074766355140186	0.015810276679841896	0.0	0.025670945157526253
ENSTGUG00000005671	0.7647058823529411	0.024539877300613498	0.005703422053231939	0.004842615012106538	0.011904761904761904
ENSTGUG00000005695	0.504950495049505	0.017278617710583154	0.01694915254237288	0.0	0.012942191544434857
ENSTGUG00000005733	0.6153846153846154	0.011019283746556474	0.0	0.0	0.004028197381671702
ENSTGUG00000005743	0.20168067226890757	0.01564245810055866	0.005611672278338945	0.001607717041800643	0.008305647840531562
ENSTGUG00000005745	0.6875	0.009380863039399626	0.0020876826722338203	0.0	0.00468384074941452
ENSTGUG00000005778	0.75	0.0	0.0	0.0	0.0
ENSTGUG00000005782	0.8	0.03361344537815126	0.015625	0.0	0.016835016835016835
ENSTGUG00000005788	0.7142857142857143	0.042735042735042736	0.0	0.0	0.016778523489932886
ENSTGUG00000005790	0.5686274509803921	0.011764705882352941	0.00554016620498615	0.002785515320334262	0.0069868995633187774
ENSTGUG00000005826	0.7021276595744681	0.0030303030303030303	0.0	0.0	0.001141552511415525
ENSTGUG00000005872	0.9107142857142857	0.050724637681159424	0.025210084033613446	0.0	0.028089887640449437
ENSTGUG00000005884	0.4782608695652174	0.03139013452914798	0.031496062992125984	0.00796812749003984	0.023351648351648352
