Feature	CG_Weighted_mC	CA_Weighted_mC	CT_Weighted_mC	CC_Weighted_mC	CH_Weighted_mC
ENSTGUG00000004696	0.8356164383561644	0.05976095617529881	0.0091324200913242	0.00546448087431694	0.027565084226646247
ENSTGUG00000004719	0.5	0.014492753623188406	0.06521739130434782	0.01639344262295082	0.036036036036036036
ENSTGUG00000004731	0.6	0.022608695652173914	0.009940357852882704	0.002688172043010753	0.01310344827586207
ENSTGUG00000004746	0.7586206896551724	0.0	0.014285714285714285	0.0	0.003484320557491289
ENSTGUG00000004760	0.638095238095238	0.011968085106382979	0.0043308791684712	0.0014962593516209476	0.0060882800608828
ENSTGUG00000004803	0.6388888888888888	0.003989361702127659	0.006716417910447761	0.0010706638115631692	0.004235044997353097
ENSTGUG00000004832	0.7160493827160493	0.025495750708215296	0.03235294117647059	0.010126582278481013	0.022058823529411766
ENSTGUG00000004853	0.75	0.0	0.024390243902439025	0.0	0.008
ENSTGUG00000004856	0.628099173553719	0.03235294117647059	0.017045454545454544	0.0	0.017471736896197326
ENSTGUG00000004877	0.8125	0.011494252873563218	0.01644736842105263	0.003125	0.0102880658436214
ENSTGUG00000004890	0.6139088729016786	0.015868172108635947	0.0031889895938234307	0.0030048076923076925	0.007883912248628885
ENSTGUG00000004895	0.7076923076923077	0.031453362255965296	0.0035714285714285713	0.009283819628647215	0.015500794912559618
ENSTGUG00000004934	0.4	0.006535947712418301	0.0	0.0	0.002680965147453083
ENSTGUG00000004945	0.18181818181818182	0.0125	0.0	0.0	0.005128205128205128
ENSTGUG00000004947	0.5428571428571428	0.013289036544850499	0.0	0.0	0.005018820577164366
ENSTGUG00000004960	0.8571428571428571	0.006666666666666667	0.0011560693641618498	0.0	0.0027910685805422647
ENSTGUG00000004993	0.7945205479452054	0.0196078431372549	0.005420054200542005	0.002403846153846154	0.010038610038610039
ENSTGUG00000004997	0.7517241379310344	0.0371900826446281	0.016913319238900635	0.0076726342710997444	0.021513353115727003
ENSTGUG00000004998	0.7241379310344828	0.05660377358490566	0.011494252873563218	0.007434944237918215	0.027122641509433963
ENSTGUG00000005028	0.95	0.03076923076923077	0.014705882352941176	0.0	0.016574585635359115
ENSTGUG00000005059	0.75	0.015384615384615385	0.0	0.0	0.005449591280653951
ENSTGUG00000005062	0.5918003565062389	0.01716549295774648	0.007317073170731708	0.0032278889606197547	0.010049395332992676
ENSTGUG00000005112	0.25	0.009345794392523364	0.0022988505747126436	0.0	0.00471253534401508
ENSTGUG00000005116	0.24444444444444444	0.012987012987012988	0.0	0.0	0.0049504950495049506
ENSTGUG00000005124	0.47435897435897434	0.04700854700854701	0.019867549668874173	0.0	0.024390243902439025
ENSTGUG00000005133	0.4827586206896552	0.03614457831325301	0.0	0.016666666666666666	0.019138755980861243
ENSTGUG00000005144	0.7951807228915663	0.04746835443037975	0.012779552715654952	0.0035460992907801418	0.021953896816684963
ENSTGUG00000005147	0.5454545454545454	0.07792207792207792	0.0	0.0	0.0273972602739726
ENSTGUG00000005151	0.767097966728281	0.04278490859587709	0.015347334410339256	0.0017905102954341987	0.02087625326191457
ENSTGUG00000005220	0.7528089887640449	0.022435897435897436	0.00967741935483871	0.0035087719298245615	0.012127894156560088
ENSTGUG00000005244	0.8536585365853658	0.0	0.009615384615384616	0.0	0.0037593984962406013
ENSTGUG00000005255	0.4842105263157895	0.04465334900117509	0.013348164627363738	0.002329192546583851	0.021512113617376774
ENSTGUG00000005268	0.8053691275167785	0.07111111111111111	0.021686746987951807	0.002544529262086514	0.033386327503974564
ENSTGUG00000005326	0.6855895196506551	0.03496503496503497	0.00881488736532811	0.0038461538461538464	0.016773733047822984
ENSTGUG00000005348	1.0	0.06363636363636363	0.015151515151515152	0.0	0.03375527426160337
ENSTGUG00000005420	0.5726495726495726	0.02054794520547945	0.008450704225352112	0.003436426116838488	0.010660980810234541
ENSTGUG00000005437	0.7454545454545455	0.0231809401159047	0.004108463434675432	0.0020597322348094747	0.011494252873563218
ENSTGUG00000005496	0.5172413793103449	0.041353383458646614	0.014285714285714285	0.0	0.020984081041968163
ENSTGUG00000005526	0.8118279569892473	0.018282988871224166	0.003940110323089046	0.0	0.008293838862559242
ENSTGUG00000005528	0.6962962962962963	0.038629737609329445	0.01289134438305709	0.0035419126328217238	0.02118003025718608
