Window	CG_Weighted_mC	CA_Weighted_mC	CT_Weighted_mC	CC_Weighted_mC	CH_Weighted_mC
1	0.4234789100410601	0.0291254504911008	0.00965827220074203	0.003205345251800185	0.015599716142796446
2	0.41532844711630845	0.02938625904770714	0.009384403053738841	0.0028434115461677843	0.015571451286776108
3	0.4216430042267259	0.02880189395160227	0.008966471567215813	0.0031118617929464464	0.015209622344565842
4	0.4073882365761299	0.028481133488608427	0.009565650022998863	0.003160366694810078	0.015327344123339557
5	0.3972069955625163	0.028730966245933333	0.009580368648103535	0.0030306315095345203	0.015350703757516048
6	0.40713750419929196	0.02838658259300063	0.00949231447906466	0.0029188957452533737	0.01518105469815128
7	0.39138548444040955	0.028354084331263185	0.009339172177820902	0.003000120004800192	0.015139204978234075
8	0.38478567116119944	0.02858485845552001	0.009411534191104435	0.0028556448139617626	0.015205034916965537
9	0.3629060779063305	0.028314761119345944	0.009461516173830798	0.0030307917054013546	0.015139201541969032
10	0.3628525680502525	0.026948544778581957	0.009210333186555114	0.0029391837085245873	0.014442579508502779
11	0.34911872942087935	0.027236526223531954	0.009144916442559764	0.0030837858805275405	0.014592218953103525
12	0.3289071455865495	0.0275272792857787	0.009098761480992054	0.002997738378315552	0.014624119271394431
13	0.31941301355481416	0.026670206524482376	0.008554760270614767	0.002913792934297403	0.014063713379155145
14	0.30786293060522385	0.026740786244910154	0.008621489822001043	0.003084124742365793	0.014130412440004523
15	0.3034148540516173	0.02666517338980635	0.008985612820979785	0.003046835527020889	0.014273111632435682
16	0.2912220702234382	0.02706672625295766	0.00916978645551494	0.003000346591761462	0.014442272707368824
17	0.27714533900242305	0.02779199250423439	0.008932747704067082	0.0031270581557853254	0.014638097281122973
18	0.27804219649072953	0.027678390851091212	0.008706662081470598	0.0029509672614912667	0.014532723352670737
19	0.2868898246820213	0.028802553503692974	0.008939095073574382	0.00292404212413175	0.014996361443477706
20	0.28488738108561834	0.025134488122338153	0.00864696527961834	0.0029862380536754335	0.0133265966285051
21	0.47491523921377443	0.022580188010770465	0.007880410922820266	0.0026848525089305476	0.011869056338415116
22	0.571403724907602	0.022051656112197872	0.007228889741502648	0.002614236697347639	0.011541876294761763
23	0.6318528976509211	0.023449135067017984	0.007972302652517835	0.002783261758899314	0.012475766937240798
24	0.6553228325072985	0.023641341448517206	0.00784664744722403	0.0027544569349297666	0.012475960554850854
25	0.6759105061183115	0.02392840792033879	0.008239452345933792	0.0028313204017730064	0.01275341762245971
26	0.6748992726701899	0.023862178265093317	0.00797322146879669	0.0028492071459644995	0.012687210156863738
27	0.693608990009177	0.023072075836135863	0.007984009812832052	0.0025746397979898006	0.012317003952217662
28	0.6878633963777318	0.02304833925486489	0.007693835004467388	0.002563209118723837	0.012247960447780825
29	0.6931763455502599	0.02360660659721462	0.007813536884590385	0.002809609786653893	0.012584536933822237
30	0.7042726527726447	0.023858013893747813	0.008177094033213551	0.002707280376947125	0.012712960259336286
