Window	CG_Weighted_mC	CA_Weighted_mC	CT_Weighted_mC	CC_Weighted_mC	CH_Weighted_mC
1	0.47460479226411967	0.040397955102001	0.012522972250824395	0.0034073076039423523	0.02117454865329033
2	0.4674963157032913	0.03934697251498243	0.012669850385999958	0.0032426533634733806	0.02079819375854634
3	0.46075866579463703	0.0398404316805092	0.012916625250459066	0.00346910887755142	0.021088929150084458
4	0.45726536220211306	0.03964345682891623	0.012419325605402721	0.003292704968919694	0.020828637338078087
5	0.45100202243059384	0.03879845825502501	0.013033534197361963	0.003632492744727058	0.020754015183305993
6	0.44349704672381696	0.038577934624029024	0.01245661039766653	0.003215220792801651	0.02036426449622055
7	0.4362896343464846	0.03872004822424273	0.012581158986715395	0.003086087915676132	0.02044402713716973
8	0.4258028169014085	0.038915675505403334	0.012527017855634023	0.0031721969569367247	0.0205032840307876
9	0.40976491065723664	0.03827994123862787	0.012455266007124379	0.0032507552870090634	0.020196369437141665
10	0.39688848271025057	0.03741719424762065	0.012344069799044868	0.003351138371549851	0.01978492056184925
11	0.3778004905968929	0.03807976187658918	0.012154708545366719	0.0034381636161391446	0.019987637351465217
12	0.36869364257268433	0.03770480839965224	0.012348524294441172	0.003142929636025831	0.01980421640151726
13	0.3564916564916565	0.037390820766135625	0.011865937557173432	0.0032909851843572644	0.0195194092012125
14	0.3483847938604319	0.03744711746554782	0.012092325345337393	0.003349512108802265	0.019581156758305553
15	0.3419589062258613	0.037269968469725016	0.012014123611781748	0.0034170672611388217	0.01959678648407394
16	0.3395059311748816	0.03692264130227505	0.012053805392185408	0.0032346354814630504	0.01936055695573462
17	0.31795660686458627	0.03750074188379132	0.01193716157328895	0.003163357400722022	0.01954790617644005
18	0.3118360993668623	0.03733208801472406	0.011881162587553467	0.0029007883594170353	0.019418718390419927
19	0.33179315768777035	0.037237991710967776	0.01166798281423581	0.003014688177221286	0.019377051999530107
20	0.3277870216306156	0.03354705747652851	0.011671946833091161	0.0029562035122739478	0.01766379163466928
21	0.5257247001453095	0.029892276294472848	0.01036803475198521	0.0027267763050585424	0.015559346766569402
22	0.6113324254495933	0.030208722470177488	0.010199540430324333	0.002937070047751831	0.015790384372455626
23	0.6727154317515763	0.03085777006481852	0.010072944232957385	0.0028856164117273524	0.016152248741216967
24	0.6977437573464064	0.031061678699727355	0.010070525446343478	0.0028534901986998445	0.016151174367056112
25	0.7143971673768229	0.03136469025620711	0.00986987138304171	0.0027596832289986835	0.016223259878698975
26	0.7150518251464624	0.030972826823929222	0.010371679394589656	0.0027497671073920932	0.0163139226484028
27	0.7380684509711037	0.02957067511729729	0.0097536136562715	0.002823782709506459	0.01557403616604983
28	0.727911815983353	0.03085475913948706	0.010299628173311107	0.0027985959586377005	0.0162706243195347
29	0.7265870083515749	0.031926602660162666	0.010576928477944605	0.0028151920514031792	0.016797628241859538
30	0.7444813624073501	0.031474769718564735	0.010477007105065082	0.0026331810694823652	0.016478584879280236
31	0.7399974946761869	0.03106719237950657	0.010273338289434624	0.0027402183190332868	0.016303589167204775
32	0.7428574986923058	0.0317719195695107	0.010683266606218222	0.002679808484891001	0.016656396879826917
33	0.7430755007704161	0.030807587409196386	0.01028558250374755	0.0026180636013073025	0.016145671245280827
34	0.7410854761418637	0.031311158995975724	0.010629473673938395	0.0027251095145158157	0.016499998274058757
35	0.7456889732637241	0.03030019738365731	0.00997474891740268	0.0025573709732217313	0.0157901742811875
36	0.7527759155283668	0.030269629849797412	0.010307346326836582	0.0026415816021610767	0.015914296828581823
37	0.751625786755327	0.030276673460739006	0.0100340210232477	0.0029098834597470953	0.01586327775900411
38	0.7525504707480444	0.030013427946984892	0.009745156425229128	0.0027423963256695775	0.015603255387305932
39	0.7559753339516115	0.02859085600137944	0.009568812132851334	0.0026997372785993183	0.01501256589870574
40	0.7561150205752704	0.029991357426465803	0.010027146927028165	0.0026463958114748137	0.01567364983395682
41	0.6414464833449928	0.03295217278522192	0.01030774901777446	0.0029595882898844177	0.01730096380589839
42	0.6338882738652815	0.034308287451132895	0.010381017058198033	0.002918489989473721	0.01822391038012235
43	0.6330172512281503	0.035869667219736404	0.011053673079772999	0.0030866783988379564	0.01919692476837455
44	0.6221358279674402	0.036085377074145754	0.011037727313851444	0.00307218090746973	0.01919707213543751
45	0.6130770567930667	0.03616519326990382	0.010957703738396425	0.003091301716549296	0.019202893933698208
46	0.5998943316476715	0.03655561799902911	0.011234526773503525	0.003235336953581757	0.019504487554981513
47	0.604062839940297	0.03721946574449957	0.011102451682565668	0.002961507300339591	0.01964769539142375
48	0.5977150945303812	0.03631491795875358	0.010988009332103522	0.0031434144617454958	0.019214596103301295
49	0.5993635956843832	0.03693259126816947	0.011083934622240743	0.003021168547259223	0.01944912818394206
50	0.592031300299631	0.03792064492156578	0.011367374458916897	0.0031481951949683807	0.0200023604921064
51	0.5780051775509207	0.0368301320576633	0.011475413418650443	0.0030219314775308675	0.019624994970426104
52	0.5844359502107224	0.037488347722246254	0.011337288184202805	0.003247811071366104	0.01983823894308135
53	0.5829606552434551	0.03762490368441598	0.011266909738995022	0.003178313648293963	0.019791167441679726
54	0.57672663228079	0.03763532687317498	0.011872521466736279	0.0033541365953955907	0.020083839130097595
55	0.5794442601617719	0.03855508400962947	0.011825724750222906	0.0030916370872509564	0.020329502994737514
56	0.5733880631262269	0.038371304288301294	0.011849402825936977	0.0031026236582784735	0.020245842964547022
57	0.5747164948453608	0.038352308217637895	0.012303294297513558	0.0033006284758330695	0.0205039327648862
58	0.5720464433746106	0.038640127488047994	0.012268794410124371	0.0032378414856307674	0.020626363327223417
59	0.573084254670225	0.0379231774257684	0.011842027084466423	0.0033972277504277083	0.020161643349034065
60	0.5792849244378916	0.03842394325105361	0.01166069536720619	0.003316871050098355	0.02020093501086929
