Feature	CG_Weighted_mC	CA_Weighted_mC	CT_Weighted_mC	CC_Weighted_mC	CH_Weighted_mC
gene:ENSTGUG00000004696	0.6666666666666666	0.017241379310344827	0.0	0.014492753623188406	0.009881422924901186
gene:ENSTGUG00000004719	0.5254237288135594	0.020202020202020204	0.0	0.0	0.006600660066006601
gene:ENSTGUG00000004731	0.6956521739130435	0.011661807580174927	0.013201320132013201	0.0	0.009237875288683603
gene:ENSTGUG00000004746	0.9148936170212766	0.016574585635359115	0.0	0.0	0.006072874493927126
gene:ENSTGUG00000004760	0.7058823529411765	0.011393060590367685	0.006003001500750375	0.0012345679012345679	0.006486486486486486
gene:ENSTGUG00000004803	0.6222222222222222	0.012578616352201259	0.006986027944111776	0.00141643059490085	0.0077986529599432825
gene:ENSTGUG00000004832	0.9425287356321839	0.07084468664850137	0.02622950819672131	0.016786570743405275	0.03764921946740129
gene:ENSTGUG00000004853	0.8688524590163934	0.0	0.0	0.0	0.0
gene:ENSTGUG00000004856	0.8305084745762712	0.035623409669211195	0.0058309037900874635	0.0	0.015549076773566569
gene:ENSTGUG00000004877	0.9230769230769231	0.04736842105263158	0.025	0.0	0.0248565965583174
gene:ENSTGUG00000004890	0.5195266272189349	0.022908204711616573	0.006902815622161671	0.00301854247520483	0.011841943796784882
gene:ENSTGUG00000004895	0.7315436241610739	0.025442477876106196	0.014238773274917854	0.0038560411311053984	0.015028901734104046
gene:ENSTGUG00000004934	1.0	0.040983606557377046	0.0	0.0	0.016722408026755852
gene:ENSTGUG00000004945	0.3157894736842105	0.0	0.0	0.0	0.0
gene:ENSTGUG00000004947	0.7692307692307693	0.024875621890547265	0.006369426751592357	0.0	0.011516314779270634
gene:ENSTGUG00000004960	0.8235294117647058	0.013568521031207599	0.0033277870216306157	0.0019455252918287938	0.007019438444924406
gene:ENSTGUG00000004993	0.8865248226950354	0.015189873417721518	0.008746355685131196	0.0	0.008130081300813009
gene:ENSTGUG00000004997	0.8478260869565217	0.023622047244094488	0.007751937984496124	0.0	0.011157601115760111
gene:ENSTGUG00000004998	0.7384615384615385	0.06199460916442048	0.028938906752411574	0.003278688524590164	0.03343465045592705
gene:ENSTGUG00000005028	0.5428571428571428	0.0	0.0	0.0	0.0
gene:ENSTGUG00000005059	0.6666666666666666	0.019230769230769232	0.0	0.0	0.006289308176100629
gene:ENSTGUG00000005062	0.6170731707317073	0.008678881388621022	0.006936416184971098	0.001422475106685633	0.006142034548944338
gene:ENSTGUG00000005112	0.45454545454545453	0.012315270935960592	0.002178649237472767	0.0	0.0055762081784386614
gene:ENSTGUG00000005116	0.6111111111111112	0.0078125	0.0	0.0	0.003257328990228013
gene:ENSTGUG00000005124	0.6666666666666666	0.041379310344827586	0.013245033112582781	0.0	0.022222222222222223
gene:ENSTGUG00000005133	0.7083333333333334	0.016129032258064516	0.0	0.0	0.005649717514124294
gene:ENSTGUG00000005144	0.7857142857142857	0.02040816326530612	0.0048543689320388345	0.0	0.008695652173913044
gene:ENSTGUG00000005147	0.7142857142857143	0.013793103448275862	0.008	0.00980392156862745	0.010752688172043012
gene:ENSTGUG00000005151	0.736318407960199	0.04294149221685454	0.014518002322880372	0.005795235028976175	0.022187621642662515
gene:ENSTGUG00000005220	0.8157894736842105	0.018691588785046728	0.006920415224913495	0.007352941176470588	0.011337868480725623
gene:ENSTGUG00000005244	0.8285714285714286	0.036036036036036036	0.0	0.0	0.014598540145985401
gene:ENSTGUG00000005255	0.44416243654822335	0.08213256484149856	0.025870178739416744	0.004169562195969423	0.04108376128918009
gene:ENSTGUG00000005268	0.8901098901098901	0.08074534161490683	0.03215434083601286	0.006802721088435374	0.040992448759439054
gene:ENSTGUG00000005326	0.7196969696969697	0.0635593220338983	0.03598971722365039	0.005988023952095809	0.03824861600402617
gene:ENSTGUG00000005348		0.015384615384615385	0.030303030303030304	0.0	0.015151515151515152
gene:ENSTGUG00000005420	0.8227848101265823	0.02830188679245283	0.01282051282051282	0.006211180124223602	0.015756302521008403
gene:ENSTGUG00000005437	0.7004405286343612	0.03269961977186312	0.0030706243602865915	0.0	0.01500815660685155
gene:ENSTGUG00000005496	0.5668789808917197	0.0366412213740458	0.012461059190031152	0.003898635477582846	0.01878453038674033
gene:ENSTGUG00000005526	0.8193832599118943	0.007462686567164179	0.0049504950495049506	0.003590664272890485	0.005532503457814661
gene:ENSTGUG00000005528	0.603448275862069	0.04607046070460705	0.016931216931216932	0.0044444444444444444	0.02566923359002567
gene:ENSTGUG00000005541	0.8602150537634409	0.015015015015015015	0.017857142857142856	0.006535947712418301	0.013333333333333334
gene:ENSTGUG00000005579	1.0	0.3076923076923077	0.16666666666666666	0.2857142857142857	0.2564102564102564
gene:ENSTGUG00000005582	0.925	0.06896551724137931	0.03550295857988166	0.006666666666666667	0.038539553752535496
gene:ENSTGUG00000005618	0.9117647058823529	0.06976744186046512	0.024752475247524754	0.0	0.034722222222222224
gene:ENSTGUG00000005646	0.3108108108108108	0.030985915492957747	0.007782101167315175	0.0	0.013918629550321198
gene:ENSTGUG00000005671	0.7321428571428571	0.04904632152588556	0.01141552511415525	0.006369426751592357	0.022341376228775692
gene:ENSTGUG00000005695	0.7744360902255639	0.035555555555555556	0.005208333333333333	0.003355704697986577	0.01678445229681979
gene:ENSTGUG00000005733	0.5476190476190477	0.038834951456310676	0.0026109660574412533	0.0035087719298245615	0.016666666666666666
gene:ENSTGUG00000005743	0.226890756302521	0.010575793184488837	0.00273224043715847	0.0	0.005092592592592593
gene:ENSTGUG00000005745	0.6984126984126984	0.03773584905660377	0.00909090909090909	0.004	0.018850987432675045
gene:ENSTGUG00000005778	0.65625	0.06201550387596899	0.008403361344537815	0.0	0.024390243902439025
gene:ENSTGUG00000005782	0.6444444444444445	0.06060606060606061	0.013157894736842105	0.008333333333333333	0.02711864406779661
gene:ENSTGUG00000005788	0.75	0.010752688172043012	0.01282051282051282	0.0	0.008130081300813009
gene:ENSTGUG00000005790	0.7755102040816326	0.017064846416382253	0.004424778761061947	0.0037593984962406013	0.008917197452229299
gene:ENSTGUG00000005826	0.6352201257861635	0.012145748987854251	0.0	0.0	0.0048
gene:ENSTGUG00000005872	0.9411764705882353	0.041666666666666664	0.0	0.0	0.013986013986013986
gene:ENSTGUG00000005884	0.5342465753424658	0.025	0.01809954751131222	0.004761904761904762	0.01584786053882726
gene:ENSTGUG00000005915	0.5348837209302325	0.02564102564102564	0.0	0.0	0.012072434607645875
gene:ENSTGUG00000005926	0.6447368421052632	0.013333333333333334	0.0026109660574412533	0.003401360544217687	0.00709849157054126
gene:ENSTGUG00000005943	0.7352941176470589	0.04788732394366197	0.010309278350515464	0.0	0.023446658851113716
gene:ENSTGUG00000005961	0.6923076923076923	0.014598540145985401	0.0060882800608828	0.008908685968819599	0.009673518742442563
gene:ENSTGUG00000005983	0.7227272727272728	0.015187849720223821	0.002086230876216968	0.002229654403567447	0.006692693809258227
gene:ENSTGUG00000005996	0.6329113924050633	0.012232415902140673	0.0111731843575419	0.0	0.009283819628647215
gene:ENSTGUG00000006045	0.43478260869565216	0.01084010840108401	0.006211180124223602	0.004048582995951417	0.007462686567164179
gene:ENSTGUG00000018216		0.0	0.0	0.0	0.0
gene:ENSTGUG00000006063	0.5934065934065934	0.026694045174537988	0.008676789587852495	0.012195121951219513	0.01675041876046901
gene:ENSTGUG00000006067	0.8235294117647058	0.015625	0.0	0.0	0.0056925996204933585
gene:ENSTGUG00000006075	0.7317073170731707	0.02224199288256228	0.003341687552213868	0.0012804097311139564	0.009671179883945842
gene:ENSTGUG00000006139	0.9102564102564102	0.016494845360824743	0.0045662100456621	0.004484304932735426	0.009598603839441536
gene:ENSTGUG00000006145	0.776595744680851	0.0498812351543943	0.015463917525773196	0.0	0.024128686327077747
gene:ENSTGUG00000006166	0.0	0.0	0.0	0.0	0.0
gene:ENSTGUG00000006169	0.5106382978723404	0.043596730245231606	0.0110803324099723	0.0	0.01899335232668566
gene:ENSTGUG00000006274	0.8	0.049738219895287955	0.028169014084507043	0.00872093023255814	0.0297029702970297
gene:ENSTGUG00000006375	0.7131782945736435	0.027607361963190184	0.008461770927772741	0.0006020469596628537	0.014960261804581581
gene:ENSTGUG00000006431	0.8433734939759037	0.0219435736677116	0.0071174377224199285	0.0	0.011406844106463879
gene:ENSTGUG00000006433	0.7586206896551724	0.03067484662576687	0.007042253521126761	0.0	0.01540436456996149
gene:ENSTGUG00000006438	0.7727272727272727	0.020512820512820513	0.009174311926605505	0.0	0.009375
gene:ENSTGUG00000006442	0.5805243445692884	0.010131712259371834	0.0021344717182497333	0.001379310344827586	0.004907512268780672
gene:ENSTGUG00000006502	0.41025641025641024	0.012987012987012988	0.0	0.0	0.004784688995215311
gene:ENSTGUG00000006522	0.7213114754098361	0.01310924369747899	0.0032025620496397116	0.003552397868561279	0.007400167550963418
gene:ENSTGUG00000006619	0.7389830508474576	0.019182652210175146	0.006430868167202572	0.005973715651135006	0.011451667228022903
gene:ENSTGUG00000006635	0.5793650793650794	0.012089810017271158	0.007194244604316547	0.0070921985815602835	0.008985879332477536
gene:ENSTGUG00000006646	0.7263922518159807	0.03963133640552995	0.012609117361784675	0.0044994375703037125	0.019966722129783693
gene:ENSTGUG00000006670	0.7666666666666667	0.024489795918367346	0.009070294784580499	0.0023923444976076554	0.012601927353595256
gene:ENSTGUG00000006707	0.6511627906976745	0.0473186119873817	0.012875536480686695	0.006535947712418301	0.02702702702702703
gene:ENSTGUG00000006724	0.5454545454545454	0.02518891687657431	0.008771929824561403	0.0	0.013541666666666667
gene:ENSTGUG00000006739	0.7857142857142857	0.039647577092511016	0.004273504273504274	0.007692307692307693	0.018612521150592216
gene:ENSTGUG00000006759	0.7303370786516854	0.03571428571428571	0.015789473684210527	0.0026455026455026454	0.01989389920424403
gene:ENSTGUG00000006777	0.23529411764705882	0.01182033096926714	0.002577319587628866	0.0	0.006066734074823054
gene:ENSTGUG00000006788	0.75	0.054901960784313725	0.00546448087431694	0.0	0.023291925465838508
gene:ENSTGUG00000006844	0.7954545454545454	0.037037037037037035	0.007633587786259542	0.0	0.016830294530154277
gene:ENSTGUG00000006855	0.7941176470588235	0.11072664359861592	0.04067796610169491	0.009216589861751152	0.05742821473158552
