Feature	CG_Weighted_mC	CA_Weighted_mC	CT_Weighted_mC	CC_Weighted_mC	CH_Weighted_mC
ENSTGUG00000004696	0.7808219178082192	0.10441767068273092	0.026785714285714284	0.011049723756906077	0.05198776758409786
ENSTGUG00000004719	0.5425531914893617	0.043478260869565216	0.015873015873015872	0.020618556701030927	0.026200873362445413
ENSTGUG00000004731	0.7619047619047619	0.0467706013363029	0.029787234042553193	0.002840909090909091	0.02832415420928403
ENSTGUG00000004746	0.9166666666666666	0.0	0.043478260869565216	0.0	0.010101010101010102
ENSTGUG00000004760	0.7112299465240641	0.017808958445763627	0.006493506493506494	0.002053388090349076	0.009298721425803952
ENSTGUG00000004803	0.7635658914728682	0.01744186046511628	0.0057692307692307696	0.002680965147453083	0.009698996655518394
ENSTGUG00000004832	0.8941176470588236	0.05504587155963303	0.026717557251908396	0.013333333333333334	0.029487179487179487
ENSTGUG00000004853	1.0	0.0	0.0	0.0	0.0
ENSTGUG00000004856	0.7928994082840237	0.08949416342412451	0.016483516483516484	0.007772020725388601	0.043512658227848104
ENSTGUG00000004877	0.76	0.045307443365695796	0.016666666666666666	0.004464285714285714	0.02457956015523933
ENSTGUG00000004890	0.603448275862069	0.024887255720728245	0.008232065856526851	0.005023923444976076	0.013884340821271858
ENSTGUG00000004895	0.6639344262295082	0.03711340206185567	0.00922722029988466	0.0025974025974025974	0.017644802454929037
ENSTGUG00000004934	1.0	0.02586206896551724	0.0	0.0	0.009708737864077669
ENSTGUG00000004945	0.38095238095238093	0.0	0.0	0.0	0.0
ENSTGUG00000004947	0.5490196078431373	0.043795620437956206	0.00510204081632653	0.0	0.01897810218978102
ENSTGUG00000004960	0.8157894736842105	0.00872093023255814	0.001694915254237288	0.005825242718446602	0.005577244841048522
ENSTGUG00000004993	0.8791208791208791	0.01694915254237288	0.013888888888888888	0.003968253968253968	0.011795543905635648
ENSTGUG00000004997	0.7222222222222222	0.052941176470588235	0.01764705882352941	0.0	0.024742268041237112
ENSTGUG00000004998	0.8309859154929577	0.0391304347826087	0.015873015873015872	0.0	0.020066889632107024
ENSTGUG00000005028	0.4230769230769231	0.0	0.023255813953488372	0.0	0.008726003490401396
ENSTGUG00000005059	0.75	0.02912621359223301	0.0	0.0	0.012448132780082987
ENSTGUG00000005062	0.5911602209944752	0.019037546271813855	0.010216346153846154	0.0	0.010930088678077954
ENSTGUG00000005112	0.24390243902439024	0.01182033096926714	0.002183406113537118	0.0	0.005509641873278237
ENSTGUG00000005116	0.7	0.0	0.0	0.0	0.0
ENSTGUG00000005124	0.29545454545454547	0.05394190871369295	0.0035460992907801418	0.0	0.02046783625730994
ENSTGUG00000005133	0.7142857142857143	0.057692307692307696	0.041666666666666664	0.0	0.033783783783783786
ENSTGUG00000005144	0.8888888888888888	0.0392156862745098	0.03937007874015748	0.0	0.02570093457943925
ENSTGUG00000005147	0.8823529411764706	0.007407407407407408	0.00819672131147541	0.0	0.005420054200542005
ENSTGUG00000005151	0.7099236641221374	0.03679761312779711	0.017042330951072018	0.004996876951905059	0.020806481310992452
ENSTGUG00000005220	0.8363636363636363	0.0326530612244898	0.03773584905660377	0.018433179723502304	0.02967359050445104
ENSTGUG00000005244	0.7272727272727273	0.1	0.05172413793103448	0.0	0.0481283422459893
ENSTGUG00000005255	0.5484764542936288	0.0789041095890411	0.023291925465838508	0.0030234315948601664	0.037992125984251966
ENSTGUG00000005268	0.8366013071895425	0.07391304347826087	0.022587268993839837	0.002352941176470588	0.033527696793002916
ENSTGUG00000005326	0.7935483870967742	0.061654135338345864	0.027624309392265192	0.008547008547008548	0.03500269251480883
ENSTGUG00000005348	0.75	0.07954545454545454	0.015873015873015872	0.0	0.03755868544600939
ENSTGUG00000005420	0.7484276729559748	0.02786377708978328	0.008174386920980926	0.0	0.011776251226692836
ENSTGUG00000005437	0.6451612903225806	0.023828435266084195	0.008316008316008316	0.003778337531486146	0.013598673300165837
ENSTGUG00000005496	0.3333333333333333	0.05162523900573614	0.00784313725490196	0.009009009009009009	0.024890190336749635
ENSTGUG00000005526	0.7654723127035831	0.015596330275229359	0.0038461538461538464	0.004622496147919877	0.008636200071968334
ENSTGUG00000005528	0.7567567567567568	0.05386178861788618	0.026054590570719603	0.0031007751937984496	0.031211498973305954
ENSTGUG00000005541	0.788235294117647	0.05514705882352941	0.0	0.0	0.02051983584131327
ENSTGUG00000005582	0.5945945945945946	0.09623430962343096	0.025	0.011494252873563218	0.048939641109298535
ENSTGUG00000005618	0.6	0.06862745098039216	0.00966183574879227	0.0	0.029684601113172542
ENSTGUG00000005646	0.4117647058823529	0.024475524475524476	0.02880658436213992	0.0036101083032490976	0.018610421836228287
ENSTGUG00000005671	0.676056338028169	0.049217002237136466	0.030612244897959183	0.006211180124223602	0.031007751937984496
ENSTGUG00000005695	0.648936170212766	0.04488778054862843	0.01597444089456869	0.0038022813688212928	0.02456499488229273
ENSTGUG00000005733	0.8076923076923077	0.006993006993006993	0.00819672131147541	0.005952380952380952	0.0071633237822349575
ENSTGUG00000005743	0.1044776119402985	0.00655307994757536	0.004531722054380665	0.0	0.0040547389761784085
ENSTGUG00000005745	0.9272727272727272	0.05699481865284974	0.01818181818181818	0.0	0.030735455543358946
ENSTGUG00000005778	0.65	0.0449438202247191	0.015625	0.011235955056179775	0.024793388429752067
ENSTGUG00000005782	0.9459459459459459	0.022727272727272728	0.0	0.0	0.007246376811594203
ENSTGUG00000005788	0.7647058823529411	0.008547008547008548	0.0	0.0	0.003424657534246575
ENSTGUG00000005790	0.6739130434782609	0.03343465045592705	0.011627906976744186	0.0	0.016147635524798153
ENSTGUG00000005826	0.7	0.01060070671378092	0.004149377593360996	0.0	0.005805515239477504
ENSTGUG00000005872	1.0	0.04081632653061224	0.0	0.0	0.01652892561983471
ENSTGUG00000005884	0.24615384615384617	0.004098360655737705	0.004219409282700422	0.0	0.0028089887640449437
ENSTGUG00000005915	0.7333333333333333	0.005494505494505495	0.006211180124223602	0.0	0.004618937644341801
ENSTGUG00000005926	0.7195121951219512	0.014492753623188406	0.002564102564102564	0.0	0.006756756756756757
ENSTGUG00000005943	0.5161290322580645	0.03953488372093023	0.009404388714733543	0.0	0.020263424518743668
ENSTGUG00000005961	0.723404255319149	0.049707602339181284	0.002173913043478261	0.0	0.016042780748663103
ENSTGUG00000005983	0.7586206896551724	0.017094017094017096	0.010079193664506839	0.0010449320794148381	0.0104
ENSTGUG00000005996	0.42207792207792205	0.011577424023154847	0.0035026269702276708	0.0025	0.006618531889290012
ENSTGUG00000006045	0.7288135593220338	0.018018018018018018	0.0038910505836575876	0.0	0.008739076154806492
ENSTGUG00000006063	0.6027397260273972	0.04285714285714286	0.019230769230769232	0.004672897196261682	0.026450511945392493
ENSTGUG00000006067	0.8043478260869565	0.014598540145985401	0.007575757575757576	0.00847457627118644	0.0103359173126615
ENSTGUG00000006075	0.6862745098039216	0.02196078431372549	0.009322033898305085	0.0036452004860267314	0.012812690665039659
ENSTGUG00000006139	0.8842975206611571	0.035919540229885055	0.011272141706924315	0.0	0.01927710843373494
ENSTGUG00000006145	0.8387096774193549	0.07838983050847458	0.031180400890868598	0.00625	0.0427074939564867
ENSTGUG00000006166	0.0	0.0	0.010101010101010102	0.0	0.004366812227074236
ENSTGUG00000006169	0.6097560975609756	0.043795620437956206	0.014814814814814815	0.0031645569620253164	0.022084805653710248
ENSTGUG00000006274	0.8876404494382022	0.0989010989010989	0.025	0.0028169014084507044	0.04331087584215592
ENSTGUG00000006375	0.7401960784313726	0.03289630512514899	0.009568069983597594	0.0049126637554585155	0.01879194630872483
ENSTGUG00000006431	0.8653846153846154	0.03592814371257485	0.006006006006006006	0.0	0.01611047180667434
ENSTGUG00000006433	0.75	0.01256281407035176	0.0025575447570332483	0.0	0.005758157389635317
ENSTGUG00000006438	0.75	0.009708737864077669	0.007575757575757576	0.0	0.005434782608695652
ENSTGUG00000006442	0.375	0.005668934240362812	0.0022172949002217295	0.0013966480446927375	0.0032
ENSTGUG00000006502	0.4230769230769231	0.0	0.0	0.0	0.0
ENSTGUG00000006522	0.6892655367231638	0.013282069206571129	0.009087154068566708	0.0012706480304955528	0.009043173862310384
ENSTGUG00000006619	0.6872246696035242	0.01951219512195122	0.0026560424966799467	0.004213483146067416	0.010040160642570281
ENSTGUG00000006635	0.514018691588785	0.02254428341384863	0.00333889816360601	0.0	0.009882643607164917
ENSTGUG00000006646	0.717948717948718	0.040526849037487336	0.014150943396226415	0.005256241787122208	0.02157164869029276
ENSTGUG00000006670	0.7183098591549296	0.034013605442176874	0.003067484662576687	0.0	0.014773776546629732
ENSTGUG00000006707	0.7884615384615384	0.0873015873015873	0.027874564459930314	0.005076142131979695	0.048723897911832945
ENSTGUG00000006724	0.5757575757575758	0.0639386189258312	0.012738853503184714	0.0	0.032329988851727984
ENSTGUG00000006739	0.8545454545454545	0.04361370716510903	0.015772870662460567	0.0	0.02342786683107275
ENSTGUG00000006759	0.6907894736842105	0.06482593037214886	0.016853932584269662	0.008992805755395683	0.033793431699190864
ENSTGUG00000006777	0.4166666666666667	0.008888888888888889	0.0	0.004878048780487805	0.004537205081669692
ENSTGUG00000006788	0.7702702702702703	0.05630630630630631	0.010471204188481676	0.008823529411764706	0.0274442538593482
ENSTGUG00000006844	0.7654320987654321	0.021739130434782608	0.010380622837370242	0.0	0.011267605633802818
ENSTGUG00000006855	0.7	0.1310344827586207	0.05084745762711865	0.004975124378109453	0.07015130674002751
ENSTGUG00000006861	0.6730769230769231	0.05677290836653386	0.02063106796116505	0.0	0.03189655172413793
ENSTGUG00000006877	0.8571428571428571	0.07954545454545454	0.018867924528301886	0.0	0.0427807486631016
ENSTGUG00000006878	0.6962025316455697	0.047619047619047616	0.02743142144638404	0.0	0.0297951582867784
ENSTGUG00000006879	0.7142857142857143	0.08333333333333333	0.027777777777777776	0.0	0.04428904428904429
ENSTGUG00000006882	0.5833333333333334	0.039473684210526314	0.020833333333333332	0.0	0.02247191011235955
ENSTGUG00000006885	0.4444444444444444	0.05314009661835749	0.01782178217821782	0.005141388174807198	0.029042904290429043
ENSTGUG00000006887	0.7314410480349345	0.03381294964028777	0.010918674698795181	0.0033025099075297227	0.01841726618705036
ENSTGUG00000007013	0.9393939393939394	0.03811659192825112	0.005758157389635317	0.003257328990228013	0.016483516483516484
ENSTGUG00000007017	0.8775510204081632	0.042584434654919234	0.011965811965811967	0.0	0.022004889975550123
ENSTGUG00000007075	0.8636363636363636	0.03896103896103896	0.014285714285714285	0.0	0.01932367149758454
ENSTGUG00000007076	0.45454545454545453	0.02459016393442623	0.0	0.0	0.008450704225352112
ENSTGUG00000007081	0.0	0.01282051282051282	0.011976047904191617	0.0	0.01
ENSTGUG00000007085	0.88268156424581	0.0266497461928934	0.009845288326300985	0.006864988558352402	0.016012396694214875
ENSTGUG00000007097	0.009615384615384616	0.0	0.0	0.0	0.0
ENSTGUG00000007103	0.856	0.040515653775322284	0.02064896755162242	0.011023622047244094	0.026296566837107377
ENSTGUG00000007158	0.6818181818181818	0.016666666666666666	0.0	0.0031847133757961785	0.006944444444444444
ENSTGUG00000007181	0.7738095238095238	0.037422037422037424	0.015521064301552107	0.003484320557491289	0.02132895816242822
ENSTGUG00000007212	0.44	0.10344827586206896	0.07692307692307693	0.03669724770642202	0.07918552036199095
ENSTGUG00000007219	0.6736111111111112	0.016921837228041903	0.0012610340479192938	0.0	0.008600469116497263
ENSTGUG00000007233	0.7105263157894737	0.018363939899833055	0.0074211502782931356	0.0	0.010309278350515464
ENSTGUG00000007276	0.8394160583941606	0.0050568900126422255	0.002805049088359046	0.0	0.0031496062992125984
ENSTGUG00000007280	0.6458333333333334	0.04075235109717868	0.022082018927444796	0.013157894736842105	0.02662037037037037
ENSTGUG00000007289	0.30357142857142855	0.008213552361396304	0.0056179775280898875	0.0	0.0057306590257879654
ENSTGUG00000007308	0.8301886792452831	0.03270223752151463	0.005309734513274336	0.0023148148148148147	0.014575411913814956
ENSTGUG00000007332	0.7619047619047619	0.0041841004184100415	0.003703703703703704	0.007751937984496124	0.004702194357366771
ENSTGUG00000007346	0.7831858407079646	0.02642113690952762	0.007894736842105263	0.0	0.013023255813953489
ENSTGUG00000007352	0.7687074829931972	0.061893203883495146	0.014666666666666666	0.0	0.028743625405656004
ENSTGUG00000007411	0.8072289156626506	0.02021772939346812	0.017892644135188866	0.0029154518950437317	0.01544660846205507
ENSTGUG00000007431	0.7916666666666666	0.043740573152337855	0.011705685618729096	0.002277904328018223	0.02176470588235294
ENSTGUG00000007447	0.7	0.061855670103092786	0.02040816326530612	0.012048192771084338	0.03237410071942446
ENSTGUG00000007449	0.9541984732824428	0.006220839813374806	0.003436426116838488	0.0026041666666666665	0.00435052827843381
ENSTGUG00000007450	0.7671232876712328	0.024154589371980676	0.0	0.0	0.010147133434804667
ENSTGUG00000007471	0.9090909090909091	0.031487513572204126	0.014218009478672985	0.003838771593090211	0.018810148731408575
ENSTGUG00000007524	0.5428571428571428	0.021739130434782608	0.00267379679144385	0.0	0.010101010101010102
ENSTGUG00000007527	0.6415094339622641	0.015151515151515152	0.0064	0.0	0.0078125
ENSTGUG00000007538	0.78125	0.02236842105263158	0.008522727272727272	0.0	0.012060828526481384
ENSTGUG00000007550	0.8192771084337349	0.05803571428571429	0.016666666666666666	0.0037174721189591076	0.029239766081871343
ENSTGUG00000007599	0.7155555555555555	0.03785046728971963	0.018414322250639385	0.0026929982046678637	0.02303705125743905
ENSTGUG00000007653	0.8067226890756303	0.01443001443001443	0.0	0.0020491803278688526	0.0056036678553234845
ENSTGUG00000007677	0.7256637168141593	0.03483768804433888	0.011336032388663968	0.004672897196261682	0.019426751592356687
ENSTGUG00000007695	0.6825396825396826	0.021164021164021163	0.008859357696566999	0.0016051364365971107	0.011736139214892756
