Feature	CG_Weighted_mC	CA_Weighted_mC	CT_Weighted_mC	CC_Weighted_mC	CH_Weighted_mC
gene:ENSTGUG00000004696	0.6666666666666666	0.03225806451612903	0.0045045045045045045	0.005405405405405406	0.015267175572519083
gene:ENSTGUG00000004719	0.07874015748031496	0.007874015748031496	0.017241379310344827	0.018867924528301886	0.014925373134328358
gene:ENSTGUG00000004731	0.7647058823529411	0.04779411764705882	0.02640845070422535	0.0	0.027683997299122215
gene:ENSTGUG00000004746	0.75	0.01904761904761905	0.0	0.0	0.00823045267489712
gene:ENSTGUG00000004760	0.7198879551820728	0.020999275887038378	0.005496518871381458	0.0030198446937014668	0.010244589576130106
gene:ENSTGUG00000004803	0.7445255474452555	0.014580801944106925	0.004867872044506259	0.00508130081300813	0.008849557522123894
gene:ENSTGUG00000004832	0.8055555555555556	0.04567307692307692	0.022222222222222223	0.011337868480725623	0.026148969889064975
gene:ENSTGUG00000004853	0.8333333333333334	0.0	0.0	0.0	0.0
gene:ENSTGUG00000004856	0.7148760330578512	0.07253086419753087	0.018633540372670808	0.003875968992248062	0.035215543412264724
gene:ENSTGUG00000004877	0.98	0.03345724907063197	0.004149377593360996	0.0043859649122807015	0.014905149051490514
gene:ENSTGUG00000004890	0.5899280575539568	0.01925774773625813	0.004763967085318319	0.0041914076143905	0.01014931199375427
gene:ENSTGUG00000004895	0.7083333333333334	0.029411764705882353	0.0100418410041841	0.0029585798816568047	0.015275813295615276
gene:ENSTGUG00000004934	0.5	0.031746031746031744	0.0	0.01098901098901099	0.0136986301369863
gene:ENSTGUG00000004945	0.6153846153846154	0.009900990099009901	0.0	0.0	0.004329004329004329
gene:ENSTGUG00000004947	0.6666666666666666	0.029605263157894735	0.0	0.0	0.011523687580025609
gene:ENSTGUG00000004960	0.8612244897959184	0.0038461538461538464	0.002631578947368421	0.0	0.002325581395348837
gene:ENSTGUG00000004993	0.8532110091743119	0.03333333333333333	0.015267175572519083	0.0	0.016488046166529265
gene:ENSTGUG00000004997	0.8403361344537815	0.043373493975903614	0.025	0.006230529595015576	0.02631578947368421
gene:ENSTGUG00000004998	0.75	0.06413301662707839	0.008403361344537815	0.011235955056179775	0.029982363315696647
gene:ENSTGUG00000005028	0.5492957746478874	0.01195219123505976	0.0044444444444444444	0.0	0.006211180124223602
gene:ENSTGUG00000005059	0.5555555555555556	0.008264462809917356	0.015151515151515152	0.0	0.009554140127388535
gene:ENSTGUG00000005062	0.6561561561561562	0.014395714763977234	0.006324404761904762	0.0028462998102466793	0.008480020557625595
gene:ENSTGUG00000005112	0.3368421052631579	0.0085995085995086	0.0012547051442910915	0.0	0.003933136676499509
gene:ENSTGUG00000005116	0.5555555555555556	0.006944444444444444	0.0	0.0	0.0027397260273972603
gene:ENSTGUG00000005124	0.45045045045045046	0.04560260586319218	0.02127659574468085	0.0	0.025703794369645042
gene:ENSTGUG00000005133	0.5714285714285714	0.018518518518518517	0.006666666666666667	0.0	0.008064516129032258
gene:ENSTGUG00000005144	0.8125	0.03225806451612903	0.009933774834437087	0.007547169811320755	0.016548463356973995
gene:ENSTGUG00000005147	0.78125	0.026455026455026454	0.011049723756906077	0.006622516556291391	0.015355086372360844
gene:ENSTGUG00000005151	0.7334410339256866	0.03681392235609103	0.011821204285186553	0.002961082910321489	0.018488646234024072
gene:ENSTGUG00000005220	0.7610619469026548	0.03380281690140845	0.006389776357827476	0.003236245954692557	0.015353121801432957
gene:ENSTGUG00000005244	0.8285714285714286	0.0196078431372549	0.011627906976744186	0.0	0.01090909090909091
gene:ENSTGUG00000005255	0.441527446300716	0.04336147352264006	0.016612495485734922	0.003707627118644068	0.02285556932397081
gene:ENSTGUG00000005268	0.8352941176470589	0.05286343612334802	0.02771855010660981	0.0026246719160104987	0.029141104294478526
gene:ENSTGUG00000005326	0.7244897959183674	0.04859611231101512	0.020512820512820513	0.003865979381443299	0.02540156892043332
gene:ENSTGUG00000005348	0.9166666666666666	0.11450381679389313	0.0	0.023529411764705882	0.05821917808219178
gene:ENSTGUG00000005420	0.7623762376237624	0.018140589569160998	0.0020161290322580645	0.004618937644341801	0.008029197080291971
gene:ENSTGUG00000005437	0.7521367521367521	0.028409090909090908	0.0031872509960159364	0.003157894736842105	0.013723937714436528
gene:ENSTGUG00000005496	0.6111111111111112	0.04893617021276596	0.006514657980456026	0.004594180704441042	0.021877486077963405
gene:ENSTGUG00000005526	0.7948717948717948	0.004172461752433936	0.005372733378106112	0.0	0.00361850607392091
gene:ENSTGUG00000005528	0.7829457364341085	0.05964368706429125	0.018633540372670808	0.00228310502283105	0.030358227079538554
gene:ENSTGUG00000005541	0.7311827956989247	0.024456521739130436	0.005221932114882507	0.007874015748031496	0.012367491166077738
gene:ENSTGUG00000005582	0.6885245901639344	0.09349593495934959	0.024154589371980676	0.008333333333333333	0.04329004329004329
gene:ENSTGUG00000005618	0.9019607843137255	0.06666666666666667	0.006042296072507553	0.004405286343612335	0.028153153153153154
gene:ENSTGUG00000005646	0.5	0.051224944320712694	0.005714285714285714	0.0	0.020177562550443905
gene:ENSTGUG00000005671	0.7425742574257426	0.057692307692307696	0.03129657228017884	0.006172839506172839	0.033688938798427846
gene:ENSTGUG00000005695	0.6379310344827587	0.05137614678899083	0.016666666666666666	0.0028328611898017	0.027314112291350532
gene:ENSTGUG00000005733	0.6041666666666666	0.020202020202020204	0.006276150627615063	0.0029940119760479044	0.010711553175210406
gene:ENSTGUG00000005743	0.22302158273381295	0.016578749058025623	0.0018248175182481751	0.0024906600249066002	0.008059516429014259
gene:ENSTGUG00000005745	0.75	0.040152963671128104	0.006928406466512702	0.011450381679389313	0.022167487684729065
gene:ENSTGUG00000005778	0.8181818181818182	0.034482758620689655	0.0106951871657754	0.005208333333333333	0.0162748643761302
gene:ENSTGUG00000005782	0.9315068493150684	0.07246376811594203	0.014084507042253521	0.0070921985815602835	0.03428571428571429
gene:ENSTGUG00000005788	0.5714285714285714	0.017964071856287425	0.016666666666666666	0.007633587786259542	0.014354066985645933
gene:ENSTGUG00000005790	0.7755102040816326	0.02702702702702703	0.005714285714285714	0.0	0.011545293072824156
gene:ENSTGUG00000005826	0.772972972972973	0.017699115044247787	0.010714285714285714	0.0	0.011097410604192354
gene:ENSTGUG00000005872	0.8194444444444444	0.03937007874015748	0.013986013986013986	0.0	0.01694915254237288
gene:ENSTGUG00000005884	0.5217391304347826	0.0045871559633027525	0.011450381679389313	0.0	0.005706134094151213
gene:ENSTGUG00000005915	0.7272727272727273	0.01818181818181818	0.007220216606498195	0.010526315789473684	0.012547051442910916
gene:ENSTGUG00000005926	0.7264957264957265	0.013888888888888888	0.0072992700729927005	0.0	0.008241758241758242
gene:ENSTGUG00000005943	0.7884615384615384	0.02888086642599278	0.006493506493506494	0.0	0.014437689969604863
gene:ENSTGUG00000005961	0.671875	0.03415559772296015	0.006932409012131715	0.012345679012345678	0.017892644135188866
gene:ENSTGUG00000005983	0.762114537444934	0.016254876462938883	0.00463768115942029	0.0027472527472527475	0.008266360505166475
gene:ENSTGUG00000005996	0.53125	0.011273957158962795	0.012077294685990338	0.002012072434607646	0.00949367088607595
gene:ENSTGUG00000006045	0.6172839506172839	0.02	0.004008016032064128	0.002512562814070352	0.009675190048375951
gene:ENSTGUG00000006063	0.7627118644067796	0.024531024531024532	0.010752688172043012	0.003134796238244514	0.01503307276007216
gene:ENSTGUG00000006067	0.8562874251497006	0.011049723756906077	0.0	0.0	0.0039100684261974585
gene:ENSTGUG00000006075	0.6776315789473685	0.016853932584269662	0.00357653791130186	0.0021208907741251328	0.008233731739707836
gene:ENSTGUG00000006139	0.8879310344827587	0.02875399361022364	0.0	0.003355704697986577	0.012258064516129033
gene:ENSTGUG00000006145	0.9206349206349206	0.03643724696356275	0.017241379310344827	0.0028169014084507044	0.020563594821020565
gene:ENSTGUG00000006166	0.0	0.004405286343612335	0.00749063670411985	0.0	0.004746835443037975
gene:ENSTGUG00000006169	0.6285714285714286	0.023008849557522124	0.003401360544217687	0.004201680672268907	0.010435850214855739
gene:ENSTGUG00000006274	0.7337278106508875	0.0391156462585034	0.006048387096774193	0.0054249547920434	0.0177153329260843
gene:ENSTGUG00000006375	0.7295081967213115	0.027085771610098647	0.006240544629349471	0.001536688436419516	0.014345444059976932
gene:ENSTGUG00000006431	0.875968992248062	0.02032520325203252	0.002336448598130841	0.0	0.009046052631578948
gene:ENSTGUG00000006433	0.7522123893805309	0.0180623973727422	0.0	0.0	0.007829181494661922
