Feature	CG_Weighted_mC	CA_Weighted_mC	CT_Weighted_mC	CC_Weighted_mC	CH_Weighted_mC
ENSTGUG00000004696	0.5766129032258065	0.022277227722772276	0.014844804318488529	0.0	0.013345605154164749
ENSTGUG00000004719	0.5561497326203209	0.022026431718061675	0.014861995753715499	0.010101010101010102	0.015492957746478873
ENSTGUG00000004731	0.6153846153846154	0.01164294954721863	0.007638888888888889	0.0018484288354898336	0.007620452310717798
ENSTGUG00000004746	0.8110236220472441	0.0020964360587002098	0.003246753246753247	0.0	0.0016488046166529267
ENSTGUG00000004760	0.6351351351351351	0.011352169525731584	0.0053871210223001755	0.0023055640946818322	0.006602426837972877
ENSTGUG00000004803	0.5586592178770949	0.0066270566727605115	0.0019130910084722602	0.002449979583503471	0.004006104540251812
ENSTGUG00000004832	0.7947214076246334	0.032034632034632034	0.009009009009009009	0.010903426791277258	0.017187940264863342
ENSTGUG00000004853	0.8415841584158416	0.014814814814814815	0.0	0.011299435028248588	0.010230179028132993
ENSTGUG00000004856	0.5908372827804107	0.0387409200968523	0.0071059431524547806	0.0036258158085569255	0.017471063550993666
ENSTGUG00000004877	0.8412698412698413	0.0205761316872428	0.008912655971479501	0.003683241252302026	0.012002182214948172
ENSTGUG00000004890	0.5747241725175527	0.01267962806424345	0.003455182774161242	0.001788162365142755	0.006483857895447791
ENSTGUG00000004895	0.6020671834625323	0.01631628490743646	0.006421088205474822	0.002737583105201408	0.008962426749396759
ENSTGUG00000004934	0.6666666666666666	0.016339869281045753	0.010291595197255575	0.0	0.010464355788096796
ENSTGUG00000004945	0.546875	0.008	0.0030581039755351682	0.0	0.00408997955010225
ENSTGUG00000004947	0.475177304964539	0.010476190476190476	0.0024242424242424242	0.0012468827930174563	0.005229734777736272
ENSTGUG00000004960	0.865979381443299	0.004758667573079538	0.002751572327044025	0.0017520805957074025	0.0032179173638820957
ENSTGUG00000004993	0.8051282051282052	0.012720848056537103	0.004541326067211626	0.0017006802721088435	0.006771397616468039
ENSTGUG00000004997	0.6862385321100918	0.019619865113427344	0.0038314176245210726	0.0007189072609633358	0.008500435919790758
ENSTGUG00000004998	0.7885375494071146	0.025954198473282442	0.005226480836236934	0.0016420361247947454	0.011425462459194777
ENSTGUG00000005028	0.6681614349775785	0.009852216748768473	0.003658536585365854	0.0	0.005059797608095676
ENSTGUG00000005059	1.0	0.0	0.0	0.0	0.0
ENSTGUG00000005062	0.6287015945330297	0.007426345264183102	0.0030257186081694403	0.0014834044131281292	0.0043586550435865505
ENSTGUG00000005112	0.23414634146341465	0.004060324825986079	0.0011092623405435386	0.0020964360587002098	0.002454809194376255
ENSTGUG00000005116	0.5	0.010638297872340425	0.0024390243902439024	0.0	0.005342831700801425
ENSTGUG00000005124	0.3474025974025974	0.025284450063211124	0.014332965821389196	0.0055762081784386614	0.016100178890876567
ENSTGUG00000005133	0.5416666666666666	0.01694915254237288	0.005012531328320802	0.0	0.007
ENSTGUG00000005144	0.8034934497816594	0.028930817610062894	0.0011918951132300357	0.0012422360248447205	0.01025010250102501
ENSTGUG00000005147	0.78125	0.026859504132231406	0.0021929824561403508	0.0	0.010566037735849057
ENSTGUG00000005151	0.720048163756773	0.023293357933579336	0.011950703348686668	0.0018284106891701829	0.013058996430820912
ENSTGUG00000005220	0.7709090909090909	0.008438818565400843	0.008177570093457943	0.0012048192771084338	0.006074411541381929
ENSTGUG00000005244	0.6692913385826772	0.022284122562674095	0.0	0.003246753246753247	0.009072580645161291
ENSTGUG00000005255	0.4148606811145511	0.029625710884803598	0.009711286089238845	0.0018821757952192735	0.015028788913828438
ENSTGUG00000005268	0.7638036809815951	0.041666666666666664	0.014790996784565916	0.0022953328232593728	0.02057892356399819
ENSTGUG00000005326	0.6263736263736264	0.031906614785992216	0.009084302325581396	0.003796095444685466	0.01590845660061401
ENSTGUG00000005348	0.5833333333333334	0.053738317757009345	0.01171875	0.0035335689045936395	0.027921406411582212
ENSTGUG00000005420	0.7142857142857143	0.015777610818933134	0.006934812760055479	0.004647560030983733	0.009104330708661417
ENSTGUG00000005437	0.655829596412556	0.014791573285522188	0.0027144408251900108	0.001394700139470014	0.007263482840021791
ENSTGUG00000005496	0.4359430604982206	0.02531645569620253	0.0034071550255536627	0.0026795284030010718	0.01091468101460415
ENSTGUG00000005526	0.8387096774193549	0.010345638372913237	0.002840909090909091	0.0003439972480220158	0.004942058623040218
ENSTGUG00000005528	0.562200956937799	0.02650887573964497	0.008906206512663512	0.0017574692442882249	0.013973553408984339
ENSTGUG00000005541	0.7254901960784313	0.011904761904761904	0.0031446540880503146	0.0027397260273972603	0.006197790353004581
ENSTGUG00000005579	0.5	0.2	0.0	0.0	0.08695652173913043
ENSTGUG00000005582	0.6774193548387096	0.024282560706401765	0.0026917900403768506	0.0	0.009995835068721367
ENSTGUG00000005618	0.8125	0.03199174406604747	0.004651162790697674	0.005134788189987163	0.01495398773006135
ENSTGUG00000005646	0.25925925925925924	0.01807802093244529	0.006936416184971098	0.001851851851851852	0.009012016021361816
ENSTGUG00000005671	0.6263736263736264	0.03414351851851852	0.015812431842966195	0.0021849963583394027	0.018439716312056736
ENSTGUG00000005695	0.5595744680851064	0.01889763779527559	0.001876172607879925	0.002338269680436477	0.008773762272822228
ENSTGUG00000005733	0.38461538461538464	0.014450867052023121	0.0032976092333058533	0.002257336343115124	0.007464829170255527
ENSTGUG00000005743	0.0782608695652174	0.011095204008589835	0.006896551724137931	0.0037533512064343165	0.007720381807973049
ENSTGUG00000005745	0.7589928057553957	0.01553829078801332	0.004739336492890996	0.004914004914004914	0.009528463229904716
ENSTGUG00000005778	0.5851851851851851	0.03225806451612903	0.009615384615384616	0.007827788649706457	0.016042780748663103
ENSTGUG00000005782	0.696969696969697	0.0375	0.004081632653061225	0.01904761904761905	0.022535211267605635
ENSTGUG00000005788	0.603448275862069	0.008333333333333333	0.013623978201634877	0.0	0.00734094616639478
ENSTGUG00000005790	0.7114093959731543	0.01105379513633014	0.0026905829596412557	0.0028089887640449437	0.005932203389830509
ENSTGUG00000005826	0.6369327073552425	0.007897334649555774	0.0034522439585730723	0.001584786053882726	0.00477516912057302
ENSTGUG00000005872	0.8181818181818182	0.015424164524421594	0.002898550724637681	0.005291005291005291	0.008093525179856115
ENSTGUG00000005884	0.34	0.011472275334608031	0.01049618320610687	0.003861003861003861	0.008626198083067093
ENSTGUG00000005915	0.6618181818181819	0.021235521235521235	0.00646551724137931	0.0014749262536873156	0.01097653292959879
ENSTGUG00000005926	0.7728937728937729	0.0113314447592068	0.0035650623885918	0.00641025641025641	0.0072992700729927005
ENSTGUG00000005943	0.6050955414012739	0.03140096618357488	0.006010518407212622	0.0010660980810234541	0.01554140127388535
ENSTGUG00000005961	0.7142857142857143	0.014383989993746092	0.0027056277056277055	0.00156128024980484	0.006345177664974619
ENSTGUG00000005983	0.7045454545454546	0.009720534629404616	0.002719238613188307	0.00035124692658939234	0.004659340659340659
ENSTGUG00000005996	0.6055900621118012	0.009026128266033254	0.010590858416945374	0.0026595744680851063	0.008155957827730256
ENSTGUG00000006045	0.3948497854077253	0.005143277002204262	0.002497918401332223	0.0010183299389002036	0.0031038374717832955
ENSTGUG00000018216		0.0	0.0	0.0	0.0
ENSTGUG00000006063	0.5399239543726235	0.023299748110831235	0.00461133069828722	0.001303780964797914	0.011618900077459334
ENSTGUG00000006067	0.7662650602409639	0.006265664160401002	0.004914004914004914	0.0012787723785166241	0.004177109440267335
ENSTGUG00000006075	0.6585365853658537	0.011884550084889643	0.002318840579710145	0.0008442380751371887	0.00555971346092163
ENSTGUG00000006139	0.8115942028985508	0.017241379310344827	0.005194805194805195	0.0024813895781637717	0.009682224428997022
ENSTGUG00000006145	0.7041420118343196	0.020156046814044214	0.008252063015753939	0.001998001998001998	0.011363636363636364
ENSTGUG00000006166	0.01282051282051282	0.003395585738539898	0.004329004329004329	0.0	0.0030248033877797943
ENSTGUG00000006169	0.42560553633217996	0.014645577035735208	0.004221954161640531	0.0	0.006751054852320675
ENSTGUG00000006274	0.720626631853786	0.025210084033613446	0.007575757575757576	0.0007097232079489	0.011428571428571429
ENSTGUG00000006375	0.7069408740359897	0.017001198322348712	0.004750798998013302	0.001049501486793773	0.009397637538341056
ENSTGUG00000006431	0.7626262626262627	0.016617790811339198	0.004268943436499467	0.0	0.008287292817679558
ENSTGUG00000006433	0.7344398340248963	0.0182648401826484	0.005859375	0.0	0.010084033613445379
ENSTGUG00000006438	0.8148148148148148	0.016177957532861477	0.0048828125	0.0036900369003690036	0.008072328059412335
ENSTGUG00000006442	0.5034756703078451	0.0038148524923702952	0.0013092432573972245	0.0013445378151260505	0.002237553608055193
ENSTGUG00000006502	0.30434782608695654	0.006172839506172839	0.007352941176470588	0.0	0.0035587188612099642
ENSTGUG00000006522	0.7266187050359713	0.006461421512732801	0.0028045770697778774	0.0024669603524229075	0.004260741448652092
ENSTGUG00000006619	0.7100656455142232	0.01064991807755325	0.0023348899266177454	0.0025026814444047193	0.00560431426456593
ENSTGUG00000006635	0.6237373737373737	0.004690831556503198	0.004666355576294913	0.0047522063815342835	0.004697198456634793
