Feature	CG_Weighted_mC	CA_Weighted_mC	CT_Weighted_mC	CC_Weighted_mC	CH_Weighted_mC
gene:ENSTGUG00000004696	0.8481012658227848	0.04048582995951417	0.0	0.01675977653631285	0.0188953488372093
gene:ENSTGUG00000004719	0.5185185185185185	0.02654867256637168	0.0	0.006944444444444444	0.011363636363636364
gene:ENSTGUG00000004731	0.6896551724137931	0.02077922077922078	0.009852216748768473	0.006872852233676976	0.012939001848428836
gene:ENSTGUG00000004746	0.8421052631578947	0.009950248756218905	0.0	0.0	0.003780718336483932
gene:ENSTGUG00000004760	0.6125461254612546	0.021015761821366025	0.004666949512091642	0.003686150605581885	0.010091743119266056
gene:ENSTGUG00000004803	0.6333333333333333	0.009852216748768473	0.0011337868480725624	0.004559270516717325	0.005801305293691081
gene:ENSTGUG00000004832	0.6336633663366337	0.03217821782178218	0.017094017094017096	0.002364066193853428	0.01697792869269949
gene:ENSTGUG00000004853	0.9090909090909091	0.09090909090909091	0.0	0.0	0.03225806451612903
gene:ENSTGUG00000004856	0.8141025641025641	0.07547169811320754	0.007194244604316547	0.004830917874396135	0.03306392358559882
gene:ENSTGUG00000004877	0.8	0.014970059880239521	0.007067137809187279	0.0	0.0077348066298342545
gene:ENSTGUG00000004890	0.5945089757127772	0.014432155381710278	0.003700414446417999	0.0023726957473991605	0.007379510407654334
gene:ENSTGUG00000004895	0.6504065040650406	0.02048780487804878	0.005982053838484547	0.004968944099378882	0.010942463819272856
gene:ENSTGUG00000004934	0.5	0.006993006993006993	0.018018018018018018	0.0	0.008670520231213872
gene:ENSTGUG00000004945	0.2777777777777778	0.018691588785046728	0.010869565217391304	0.0	0.010238907849829351
gene:ENSTGUG00000004947	0.725	0.016778523489932886	0.0	0.0	0.006596306068601583
gene:ENSTGUG00000004960	0.8312101910828026	0.0	0.0012468827930174563	0.0015698587127158557	0.000881057268722467
gene:ENSTGUG00000004993	0.7972972972972973	0.01	0.0	0.0	0.0039164490861618795
gene:ENSTGUG00000004997	0.7699115044247787	0.03273809523809524	0.02710843373493976	0.0	0.02190580503833516
gene:ENSTGUG00000004998	0.6574074074074074	0.042105263157894736	0.014792899408284023	0.006493506493506494	0.022417153996101363
gene:ENSTGUG00000005028	0.5254237288135594	0.018656716417910446	0.0	0.01	0.009536784741144414
gene:ENSTGUG00000005059	0.9166666666666666	0.018518518518518517	0.005988023952095809	0.0	0.00966183574879227
gene:ENSTGUG00000005062	0.6237037037037036	0.017796289284361985	0.004899959167006942	0.0010454783063251437	0.008710552620305583
gene:ENSTGUG00000005112	0.22093023255813954	0.0076103500761035	0.007692307692307693	0.0032679738562091504	0.006819590824550527
gene:ENSTGUG00000005116	0.6153846153846154	0.0	0.008264462809917356	0.0	0.003472222222222222
gene:ENSTGUG00000005124	0.3465346534653465	0.03255813953488372	0.007434944237918215	0.0	0.0141287284144427
gene:ENSTGUG00000005133	0.45	0.07272727272727272	0.0	0.0	0.02185792349726776
gene:ENSTGUG00000005144	0.859375	0.01639344262295082	0.004016064257028112	0.004784688995215311	0.008547008547008548
gene:ENSTGUG00000005147	0.8367346938775511	0.010638297872340425	0.011152416356877323	0.0	0.007662835249042145
gene:ENSTGUG00000005151	0.7155555555555555	0.026963657678780773	0.004968944099378882	0.0028735632183908046	0.01231945624468989
gene:ENSTGUG00000005220	0.6888888888888889	0.01932367149758454	0.0	0.005747126436781609	0.009191176470588236
gene:ENSTGUG00000005244	0.7714285714285715	0.06153846153846154	0.01834862385321101	0.010101010101010102	0.03254437869822485
gene:ENSTGUG00000005255	0.4596100278551532	0.047700902449505804	0.014250814332247556	0.0017878426698450535	0.023061445596656863
gene:ENSTGUG00000005268	0.7425742574257426	0.0675422138836773	0.023809523809523808	0.0	0.031491002570694086
gene:ENSTGUG00000005326	0.6728110599078341	0.04608294930875576	0.016544117647058824	0.0035842293906810036	0.023588039867109636
gene:ENSTGUG00000005348	0.25	0.02857142857142857	0.0	0.021052631578947368	0.01910828025477707
gene:ENSTGUG00000005420	0.868421052631579	0.017676767676767676	0.007653061224489796	0.0057306590257879654	0.010554089709762533
gene:ENSTGUG00000005437	0.728448275862069	0.030397505845674203	0.006036217303822937	0.004895960832313341	0.01583710407239819
gene:ENSTGUG00000005496	0.273224043715847	0.011157601115760111	0.009446693657219974	0.0032102728731942215	0.008169149447381067
gene:ENSTGUG00000005526	0.7611607142857143	0.005131494547787043	0.004450095359186269	0.0	0.003672869735553379
gene:ENSTGUG00000005528	0.6227544910179641	0.044897959183673466	0.019279128248113998	0.0056753688989784334	0.02652370203160271
gene:ENSTGUG00000005541	0.7582417582417582	0.023411371237458192	0.007017543859649123	0.011627906976744186	0.014251781472684086
gene:ENSTGUG00000005579	0.6666666666666666	0.0	0.0	0.0	0.0
gene:ENSTGUG00000005582	0.5454545454545454	0.03278688524590164	0.010050251256281407	0.029411764705882353	0.024469820554649267
gene:ENSTGUG00000005618	0.96875	0.03180212014134275	0.00392156862745098	0.0	0.013717421124828532
