Feature	CG_Weighted_mC	CA_Weighted_mC	CT_Weighted_mC	CC_Weighted_mC	CH_Weighted_mC
gene:ENSTGUG00000004696	0.6377551020408163	0.056649063850216036	0.02456499488229273	0.003977272727272727	0.029843022252889425
gene:ENSTGUG00000004719	0.4717171717171717	0.06063778737512542	0.025762775609985425	0.0075374440770278155	0.03232033107878563
gene:ENSTGUG00000004731	0.6164383561643836	0.049493813273340834	0.016269610691458453	0.003499562554680665	0.025850926324859975
gene:ENSTGUG00000004746	0.7894736842105263	0.004310344827586207	0.005434782608695652	0.0	0.003278688524590164
gene:ENSTGUG00000004760	0.5384615384615384	0.018193004042889788	0.004395809951365507	0.0027145811789038264	0.009226330269073341
gene:ENSTGUG00000004803	0.4454225352112676	0.016402481047553413	0.005049708063752564	0.003314184710561202	0.009162159178717297
gene:ENSTGUG00000004832	0.7322834645669292	0.06741573033707865	0.01621017328116266	0.0056939501779359435	0.03219435117519257
gene:ENSTGUG00000004853	0.5	0.0	0.0	0.0	0.0
gene:ENSTGUG00000004856	0.48257372654155495	0.06839972323811407	0.028164383561643837	0.009110688060919228	0.03820123326816063
gene:ENSTGUG00000004877	0.6985294117647058	0.048314606741573035	0.016417910447761194	0.004577611319184353	0.0255556748630946
gene:ENSTGUG00000004890	0.44320297951582865	0.027238244095838974	0.008152925899908466	0.003748438150770512	0.014373777269203795
gene:ENSTGUG00000004895	0.5575657894736842	0.03295790251107829	0.010905452726363181	0.004207383279044517	0.01762723887214045
gene:ENSTGUG00000004934	0.27586206896551724	0.034759358288770054	0.003236245954692557	0.007042253521126761	0.017299107142857144
gene:ENSTGUG00000004945	0.5	0.0	0.006211180124223602	0.010067114093959731	0.005336179295624333
gene:ENSTGUG00000004947	0.4959677419354839	0.03652636671504596	0.012326656394453005	0.005291005291005291	0.01921537229783827
gene:ENSTGUG00000004960	0.7036144578313253	0.02284685682636389	0.005264945652173913	0.0052145058070632855	0.012580068093946564
gene:ENSTGUG00000004993	0.46553966189856955	0.03090490188289505	0.012592389816589104	0.0038057894129858148	0.01738212744824161
gene:ENSTGUG00000004997	0.7633587786259542	0.031007751937984496	0.009592326139088728	0.0030211480362537764	0.014977973568281937
gene:ENSTGUG00000004998	0.5574986751457339	0.059674869258523534	0.018394106472686838	0.004571577847439916	0.03149670251128943
gene:ENSTGUG00000005028	0.39655172413793105	0.02605674580196873	0.009146341463414634	0.0038535645472061657	0.01452894438138479
gene:ENSTGUG00000005059	0.75	0.019801980198019802	0.0023584905660377358	0.0	0.008571428571428572
gene:ENSTGUG00000005062	0.4665271966527197	0.017473214927734234	0.00464464759657918	0.002018842530282638	0.00919744419930661
gene:ENSTGUG00000005112	0.3287671232876712	0.010348071495766699	0.002678093197643278	0.004035512510088781	0.0061162079510703364
gene:ENSTGUG00000005116	0.07627118644067797	0.01251303441084463	0.005688282138794084	0.00390625	0.007674597083653108
gene:ENSTGUG00000005124	0.42613636363636365	0.08237431859479104	0.02724252491694352	0.002107481559536354	0.043605359317905
gene:ENSTGUG00000005133	0.4666666666666667	0.050204918032786885	0.022727272727272728	0.0028308563340410475	0.027623249568386726
gene:ENSTGUG00000005144	0.8709677419354839	0.08264462809917356	0.03389830508474576	0.00980392156862745	0.04398826979472141
gene:ENSTGUG00000005147	0.6197183098591549	0.03421461897356143	0.016366612111292964	0.009070294784580499	0.021238938053097345
gene:ENSTGUG00000005151	0.524598521539638	0.04559204504909793	0.014827521782699526	0.004270749395648671	0.024730647069813788
gene:ENSTGUG00000005220	0.6842105263157895	0.07238971214443876	0.029248426508700482	0.0066418703506907545	0.04043359712708652
