Feature	CG_Weighted_mC	CA_Weighted_mC	CT_Weighted_mC	CC_Weighted_mC	CH_Weighted_mC
gene:ENSTGUG00000004696	0.543046357615894	0.047540983606557376	0.01679212507237985	0.0025823111684958036	0.023501762632197415
gene:ENSTGUG00000004719	0.44914564686737185	0.051319802292564935	0.01948932324031183	0.006939090208172706	0.026837871633601462
gene:ENSTGUG00000004731	0.7407407407407407	0.03799514955537591	0.011990407673860911	0.0013003901170351106	0.01934295363831747
gene:ENSTGUG00000004746	0.813953488372093	0.011811023622047244	0.017857142857142856	0.0	0.010736196319018405
gene:ENSTGUG00000004760	0.47401247401247404	0.018023491292021063	0.005337109247358676	0.0029664787896766538	0.009574014496685919
gene:ENSTGUG00000004803	0.4266666666666667	0.015302439728598238	0.006270575325286095	0.0016260162601626016	0.008687751973198569
gene:ENSTGUG00000004832	0.6746987951807228	0.07541899441340782	0.012470308788598575	0.006978367062107467	0.033829223558182187
gene:ENSTGUG00000004853	0.8571428571428571	0.0	0.05	0.0	0.010869565217391304
gene:ENSTGUG00000004856	0.45760869565217394	0.06379372957269096	0.023771152296535054	0.005723905723905724	0.03409248394696725
gene:ENSTGUG00000004877	0.6296296296296297	0.0320535399788658	0.007951533510034078	0.001110494169905608	0.015657189946435928
gene:ENSTGUG00000004890	0.46550652579241764	0.02341941841013772	0.008814489293062718	0.0041044652609976496	0.013187065546693518
gene:ENSTGUG00000004895	0.540952380952381	0.030046038284468137	0.01218119527978683	0.005115089514066497	0.017
gene:ENSTGUG00000004934	0.5238095238095238	0.03463855421686747	0.006493506493506494	0.005263157894736842	0.01746987951807229
gene:ENSTGUG00000004945	0.5666666666666667	0.014184397163120567	0.0	0.007722007722007722	0.007371007371007371
gene:ENSTGUG00000004947	0.3445692883895131	0.020691609977324263	0.0069952305246422895	0.0029038112522686023	0.01092490453966907
gene:ENSTGUG00000004960	0.6617021276595745	0.021508990085699883	0.009790483649892304	0.0034482758620689655	0.013069197963956527
gene:ENSTGUG00000004993	0.5172890733056709	0.05537516454585344	0.019548133595284872	0.004583651642475172	0.029426755921030275
gene:ENSTGUG00000004997	0.8405797101449275	0.04984423676012461	0.02617801047120419	0.005917159763313609	0.026897214217098942
gene:ENSTGUG00000004998	0.5113924050632911	0.057052766418682566	0.017829197406662195	0.004549082202713488	0.030245075809854294
gene:ENSTGUG00000005028	0.41317365269461076	0.01836605446485117	0.008104738154613466	0.0010090817356205853	0.010301868711068519
gene:ENSTGUG00000005059	0.3	0.026923076923076925	0.0	0.0	0.011235955056179775
gene:ENSTGUG00000005062	0.48329355608591884	0.013385898963968093	0.005349099099099099	0.004925271739130435	0.00845142253469819
gene:ENSTGUG00000005112	0.2569444444444444	0.011350737797956867	0.002638522427440633	0.0009689922480620155	0.00580046403712297
gene:ENSTGUG00000005116	0.16379310344827586	0.012008733624454149	0.0022522522522522522	0.0013458950201884253	0.005496662740478995
gene:ENSTGUG00000005124	0.37962962962962965	0.04992967651195499	0.013186813186813187	0.005793742757821553	0.025753424657534246
gene:ENSTGUG00000005133	0.541095890410959	0.046052631578947366	0.01555793991416309	0.004528301886792453	0.02373828047077598
gene:ENSTGUG00000005144	0.8709677419354839	0.03255813953488372	0.014634146341463415	0.0	0.016638935108153077
gene:ENSTGUG00000005147	0.7435897435897436	0.0457516339869281	0.01809954751131222	0.009287925696594427	0.026143790849673203
gene:ENSTGUG00000005151	0.5266240681576145	0.03726871320437342	0.012313005612177862	0.003677876835260541	0.020147433765657908
gene:ENSTGUG00000005220	0.5951219512195122	0.05915657946114799	0.01957585644371941	0.00551844321812373	0.031034226742891084
gene:ENSTGUG00000005244	0.639344262295082	0.039888682745825604	0.013745704467353952	0.007590132827324478	0.023809523809523808
gene:ENSTGUG00000005255	0.49390062481404345	0.05230038484207607	0.018778005620110883	0.004595375722543353	0.028733253307945968
gene:ENSTGUG00000005268	0.5410872313527181	0.057145090681676045	0.018795386586928663	0.004883063479825238	0.03063911521422597
gene:ENSTGUG00000005326	0.7151898734177216	0.053563111318118306	0.01839254220206601	0.0062682824905975765	0.029842342342342343
gene:ENSTGUG00000005348	0.5737704918032787	0.06276445698166432	0.024207011686143573	0.005442176870748299	0.03640704267382871
gene:ENSTGUG00000005420	0.5276679841897233	0.04783298097251586	0.013125512715340444	0.004009355162044771	0.02309756565075714
gene:ENSTGUG00000005437	0.5879629629629629	0.022553250730892385	0.00847086315174529	0.005253940455341506	0.013368835635435736
