Feature	CG_Weighted_mC	CA_Weighted_mC	CT_Weighted_mC	CC_Weighted_mC	CH_Weighted_mC
gene:ENSTGUG00000004696	0.443001443001443	0.024550975578240083	0.00955458760713784	0.0014934289127837516	0.012435040831477357
gene:ENSTGUG00000004719	0.4230698529411765	0.032877700622254286	0.012015456245989159	0.004224137931034482	0.016901025129275153
gene:ENSTGUG00000004731	0.5570175438596491	0.021804966686856452	0.007055805003207184	0.0023413720440177946	0.01157150371106306
gene:ENSTGUG00000004746	0.7878787878787878	0.006615214994487321	0.010296010296010296	0.0	0.005642885933091495
gene:ENSTGUG00000004760	0.5212150433944069	0.014654694042274126	0.005339112967172385	0.00295952932786593	0.008206586117033877
gene:ENSTGUG00000004803	0.35021707670043417	0.008266369333692184	0.003775041825747501	0.0018385732671446957	0.005073358014534485
gene:ENSTGUG00000004832	0.7228637413394919	0.02506372132540357	0.009475866153390583	0.004366017827906131	0.01372132760316885
gene:ENSTGUG00000004853	0.8415841584158416	0.014814814814814815	0.0	0.011299435028248588	0.010230179028132993
gene:ENSTGUG00000004856	0.4191374663072776	0.03624449399097286	0.013717092455599149	0.003947902446223665	0.019512696617662178
gene:ENSTGUG00000004877	0.6186868686868687	0.021052631578947368	0.007835090010260237	0.005202080832332933	0.012227754631981844
gene:ENSTGUG00000004890	0.40833899841377747	0.014573269862805414	0.00445302063232893	0.0027875952013539746	0.00787935934850823
gene:ENSTGUG00000004895	0.515527950310559	0.019192363673289782	0.006088391710984779	0.0036108035241442394	0.010415189677618944
gene:ENSTGUG00000004934	0.4	0.015989036089538604	0.005836575875486381	0.005934718100890208	0.009833720722331485
gene:ENSTGUG00000004945	0.5373134328358209	0.004228329809725159	0.0007396449704142012	0.001669449081803005	0.0022675736961451248
gene:ENSTGUG00000004947	0.36406067677946324	0.017174596214280493	0.004688120778704808	0.001862370798025887	0.008484881238684574
gene:ENSTGUG00000004960	0.697352587244284	0.01074676219344172	0.004990236493816446	0.002213064713064713	0.006658663765615035
gene:ENSTGUG00000004993	0.4389271475172164	0.015070882339788023	0.005250055458332306	0.0025015233635868	0.00828511084018751
gene:ENSTGUG00000004997	0.6862385321100918	0.019619865113427344	0.0038314176245210726	0.0007189072609633358	0.008500435919790758
gene:ENSTGUG00000004998	0.48471290082028334	0.03219464521114596	0.010169623607034314	0.003641568229581854	0.017335343754825466
gene:ENSTGUG00000005028	0.5167464114832536	0.017748562037797865	0.006718172657037286	0.0010301313417460727	0.00954653937947494
gene:ENSTGUG00000005059	0.6551724137931034	0.004816955684007707	0.0	0.0030721966205837174	0.0025830258302583027
gene:ENSTGUG00000005062	0.46061300486966483	0.009742519137091163	0.003398069707624419	0.0020214521452145214	0.005640315209960059
gene:ENSTGUG00000005112	0.20222929936305734	0.008032128514056224	0.0019723865877712033	0.0020784619381657575	0.004465408805031447
gene:ENSTGUG00000005116	0.2198581560283688	0.004541583877377235	0.00538243626062323	0.0017755681818181818	0.004053095551727632
gene:ENSTGUG00000005124	0.38072289156626504	0.040492258832870186	0.012400168137873056	0.0032981530343007917	0.021281571562207672
gene:ENSTGUG00000005133	0.3840155945419103	0.02716297786720322	0.009391007398975526	0.003123048094940662	0.014370110170844642
gene:ENSTGUG00000005144	0.8034934497816594	0.028930817610062894	0.0011918951132300357	0.0012422360248447205	0.01025010250102501
gene:ENSTGUG00000005147	0.6741573033707865	0.03187250996015936	0.009787928221859706	0.0028368794326241137	0.01635914019402701
gene:ENSTGUG00000005151	0.4514403879064461	0.023328114008214763	0.007351606016734964	0.003211773487036046	0.01268821723722332
gene:ENSTGUG00000005220	0.5401408450704225	0.03416585576819116	0.011659564393939394	0.0026653339996668335	0.018164556962025315
gene:ENSTGUG00000005244	0.5	0.025721784776902887	0.006092254134029591	0.000946073793755913	0.012912175861700993
gene:ENSTGUG00000005255	0.4178512644022146	0.025657661398455003	0.00869422186714289	0.003059333840828462	0.014073374266368784
gene:ENSTGUG00000005268	0.4592400129912309	0.029394369529216938	0.009984145348588078	0.003423463403810188	0.016014579859630076
gene:ENSTGUG00000005326	0.5301659125188537	0.030532372608988646	0.008404303003137607	0.003110704483074108	0.016081050157065884
gene:ENSTGUG00000005348	0.5642458100558659	0.0434063662670525	0.009742519137091163	0.003033367037411527	0.02154176295807197
gene:ENSTGUG00000005420	0.4422994422994423	0.03004932502596054	0.010045476141994162	0.003315006468305304	0.015337928438683573
gene:ENSTGUG00000005437	0.5420420420420421	0.01690897597977244	0.004884713919726729	0.002351228796954599	0.009139607504633274
gene:ENSTGUG00000005496	0.3516228748068006	0.021578852724330157	0.006729699666295884	0.0026364144763122155	0.011489076370332562
gene:ENSTGUG00000005526	0.8387096774193549	0.010345638372913237	0.002840909090909091	0.0003439972480220158	0.004942058623040218
gene:ENSTGUG00000005528	0.4171550346297283	0.0265625	0.008212962697068029	0.002674001069600428	0.013760492502101032
gene:ENSTGUG00000005541	0.357164680721051	0.019060939060939062	0.005876632985245001	0.002741717041588214	0.010303300973916586
