Window	CG_Weighted_mC	CA_Weighted_mC	CT_Weighted_mC	CC_Weighted_mC	CH_Weighted_mC
1	0.404038305739629	0.03268912899550063	0.010714139138957895	0.004073490520225964	0.01757939122183759
2	0.4029767281799802	0.031811719821809165	0.010614333812477691	0.004008478517892584	0.017216578498113685
3	0.3953759925268566	0.03116573420159589	0.010647377059145341	0.0037926675094816687	0.016900465169160092
4	0.3929578075538788	0.03157630522088353	0.010358656929756424	0.0036563725349895533	0.016938683454697397
5	0.3802950192359125	0.03031312686418998	0.010873102610807529	0.003975293338177777	0.016694422898847327
6	0.3762642478728528	0.030519959499145544	0.010144706927960797	0.004023275738969013	0.016532616819103882
7	0.36538689184390166	0.03065717211207298	0.010439010794857885	0.003755174134532883	0.016588192161797705
8	0.3637445538163628	0.031040306104373087	0.010365691909303353	0.003789296237225203	0.016709625486199118
9	0.34314900304488755	0.03050618898582881	0.010391613410602346	0.0038168356753719226	0.016483521546620222
10	0.3399139221556886	0.030304203486290034	0.010617264930930006	0.004141242813401767	0.016544230493769057
11	0.32148733135899965	0.03025249651762767	0.010046513084741516	0.0038879389132934344	0.016229884451507103
12	0.31313828820643286	0.03068343422159679	0.010285315823115811	0.003883878367207108	0.01647517058467809
13	0.3058262711864407	0.030673169067437323	0.00998974375540068	0.0036615666274355954	0.016302609111267862
14	0.296541997492687	0.030606059035963543	0.009989231854034228	0.004014950102107656	0.016324476531155024
15	0.28716953674508855	0.030285606263488713	0.010138764673787708	0.00424062064032186	0.016385556293325006
16	0.2749698842507725	0.030351433404055644	0.010033358994098024	0.004285207463834842	0.01631380525337196
17	0.27371627502175805	0.03173712978820028	0.010967937189717086	0.003814727208328075	0.01707898730518151
18	0.2680417781976592	0.031553876941289215	0.010154650728427344	0.004063534306335745	0.016785108960796984
19	0.2787811489597962	0.031696780060372055	0.010270873692819095	0.004066912882902455	0.0169085360817378
20	0.286995005194029	0.02832305361269686	0.01063127332008505	0.0038191684235993504	0.015436537788763407
21	0.4614086980635023	0.025972770583693735	0.009213263987915976	0.0035160209719322507	0.013869970662196144
22	0.5581815570925974	0.025953253050146247	0.00902523508803627	0.0036730344719740197	0.013934822781095592
23	0.6200731409995937	0.027622608559370418	0.00921353910439784	0.0036296766215098493	0.014757308116519464
24	0.6408147665826799	0.027372928851653325	0.009320843527036958	0.0034965318951933853	0.014608119282368368
25	0.6635244521861323	0.02799239490176748	0.009221125310399128	0.003591367658101799	0.014902013056326234
26	0.657805437828248	0.027584349327819634	0.009542687243380999	0.003524886618060738	0.014838973425379206
27	0.6913513048958662	0.02777180110592336	0.009335760360928714	0.0037346402610713824	0.014920597688094386
28	0.6799373987534664	0.027874897604262764	0.009392183585138611	0.0033953660105591316	0.014922176422584454
29	0.6806216345170745	0.027634349526293154	0.009788064096639333	0.0036436921773799007	0.015030443396649367
30	0.6911169699026338	0.027868353336345242	0.009432222368594388	0.003495876658300466	0.014924154704510181
31	0.688560099860489	0.027357824369355445	0.009170020561895203	0.003514584701491306	0.014657724201367997
32	0.6920655833699312	0.028322963405192116	0.009867339382757885	0.0038720533032398884	0.01533357788232445
33	0.6860395592595756	0.026819533301711072	0.009335205178218682	0.003335998548689453	0.0144316622243889
