Window	CG_Weighted_mC	CA_Weighted_mC	CT_Weighted_mC	CC_Weighted_mC	CH_Weighted_mC
1	0.3886052871467639	0.024797012830793906	0.00770716759925393	0.003082247336830152	0.013118482070844949
2	0.38620638483370123	0.024189225408737604	0.008051836465341229	0.0032202241635604185	0.013050827374575915
3	0.3916292700796776	0.02449192728318249	0.007817489546639014	0.003430365518043335	0.01311711735112153
4	0.3730889666605268	0.02448777089293066	0.00823295588739901	0.0030162271087032797	0.013162504338574223
5	0.3791126620139581	0.024060624533596798	0.008280082000382431	0.0030668365484963537	0.01302911597028056
6	0.37356890459363956	0.024517804545886427	0.007962156862307172	0.0031907118410503914	0.013123941208509782
7	0.35830558009923197	0.02448929073670598	0.007693056772811374	0.0031863944176944666	0.0129931295233914
8	0.3462555368609003	0.024030534943415095	0.007716098953290413	0.0030938133431611206	0.012793984594289268
9	0.334549244398124	0.023870233327434053	0.007473883020900519	0.0030584633261849506	0.012614708608170187
10	0.32389864953454833	0.023643403975977362	0.007759398216593675	0.0030012239264602483	0.012556551185555211
11	0.31511604057870407	0.023340807925298704	0.007697323958691503	0.0032737586038982403	0.012524897301294404
12	0.2999905914821552	0.0239536886336073	0.007506587340383676	0.00318364057886776	0.012642298774457033
13	0.2874374945170629	0.022638750870940843	0.007598080229712786	0.0029171085276695837	0.012080330816814613
14	0.2756522992648119	0.023198173305522176	0.007373855971546053	0.003026897885220842	0.012194495289295884
15	0.26685028696680413	0.022930654133896028	0.007461487656414559	0.0031555310706490283	0.012220970177511553
16	0.25208974923009236	0.023157398634219145	0.007208095364675945	0.003106476051605541	0.012151577230044772
17	0.24475835364979207	0.023134350748059845	0.007555093620905239	0.0030780931607496485	0.012266093398147465
18	0.23670617698535795	0.023533512341216565	0.0072902668070678155	0.003018265518265518	0.012290891899489979
19	0.2558674215240677	0.024301855753798167	0.007829071370298478	0.0033727963134199397	0.012852647858780864
20	0.25418209241738654	0.021432443326337442	0.007425262437243268	0.003132978782709525	0.01139101951462576
21	0.4271249717173241	0.01919611123076288	0.006508984558068898	0.0027071748820496934	0.010107374910020162
22	0.5283439719592545	0.019455262237678492	0.006367801130635632	0.002816992200090247	0.010264407639534583
23	0.6014137918338794	0.020293756065998057	0.006672222222222223	0.0028746939489331935	0.010806797154105593
24	0.6172630741302564	0.020145892169616007	0.00654930271175469	0.0027975492303096974	0.010665148721111104
25	0.6446213022243591	0.020680378573419565	0.00674396463043621	0.0027797031132674867	0.010954297108944074
26	0.6307651130819859	0.020530303942945947	0.006680987355774796	0.002770722696836758	0.010866200235279549
27	0.6659484369161789	0.019762904274818187	0.006447974829973202	0.0029102742251084705	0.0105759638037873
28	0.6599359088905566	0.02011207076965765	0.006674656027669483	0.002792348354787707	0.010771590468003016
29	0.6620309975465263	0.020757710137241814	0.006799616217980335	0.002742957093260541	0.011056246474077549
30	0.6797181258166884	0.020765660468377002	0.0067228234404866595	0.002671091373448506	0.011005752929095901
31	0.6652439348091522	0.019635413426242768	0.0066915109089616944	0.002694551052065872	0.010554077227839867
32	0.6696588114107928	0.019704923584945598	0.0066251469606939725	0.002500783377925615	0.010489111662690476
33	0.6761084143269511	0.020339367824092416	0.006384669506827543	0.0027005453082995126	0.010691969263832288
34	0.667705402434474	0.019639928080247303	0.006649526231871442	0.0025879189193750737	0.010507287396878404
35	0.6856116345290194	0.01977110501158368	0.006625772805313515	0.002698040721219344	0.010563563363217489
36	0.6888061863884966	0.019645424919250528	0.00657209748578835	0.002773679551490115	0.010522682134430644
37	0.6811809927413777	0.019785206261390378	0.0067255725850703186	0.0025972745866292106	0.0105450078933276
38	0.678843347503331	0.01936745478934014	0.006343293983191403	0.0027618479190826216	0.010310950900846022
39	0.6810049332598497	0.018649348607702326	0.006240165589278618	0.0026831138728134834	0.009996026060406966
40	0.6773119941226392	0.020144571945114317	0.0064437519794057945	0.002736902324187624	0.010782580975925165
41	0.5691155330256488	0.022028900522005703	0.006713746546826971	0.0030903925486564818	0.011699861456518607
42	0.5652953859422165	0.022540051459195132	0.006739159878490026	0.0027441129375817136	0.01204390793896495
43	0.5600022738900574	0.023127571727745017	0.0069423982450103885	0.0029548295471217554	0.012418379340604586
44	0.5557882442963291	0.022972487433241824	0.007177758168815604	0.0027896510326348573	0.012380603537177336
45	0.5376873091035812	0.023279813719723364	0.007026796215418499	0.0028385933064697957	0.012451530401782032
46	0.5362565630764865	0.02389886308766077	0.007499443297490498	0.003194246280173543	0.012947886178918136
47	0.5317182868240826	0.023286732866448192	0.00703570226556798	0.0032048217209255155	0.01251928070486928
48	0.5248164763458402	0.023669012307606044	0.0072944947209653095	0.0030354901289512725	0.012703702887249039
49	0.5386106171704861	0.02374185358635067	0.007328335292430386	0.003037162422536659	0.012732458140169826
50	0.5287158746208291	0.023652922053428727	0.007364970838772693	0.00310326842837274	0.012762711934662432
51	0.5223489880440728	0.023224692197070945	0.007285565908452576	0.003041045424529941	0.012562574394578476
52	0.5148424269557939	0.023904036673521697	0.007302449179289901	0.0028674062823052446	0.012774693621032784
53	0.5094454477203092	0.024385241881840183	0.007543012445010863	0.00293364042032532	0.013031178124022557
54	0.5054505368880905	0.023909799962476212	0.0077613066245340425	0.00298852037864235	0.012945899096797737
55	0.5060979423353555	0.024375548553258228	0.007599858265063693	0.002891538170052759	0.013048070164284175
56	0.5078616028190492	0.024382020027699423	0.007580404702374481	0.002911090679033518	0.012990467055567227
57	0.5003711034141514	0.023902422259243782	0.007640518466530446	0.0030946425455180035	0.012904195139098549
58	0.500771938491941	0.02394627663825737	0.007547568255631835	0.0030164718711799417	0.01288028999183222
59	0.5073167694127904	0.024975532152767342	0.007513501283728617	0.0034394494519023257	0.013364057284994572
60	0.5086311204323627	0.02433113324297248	0.007632821526210022	0.00332513798441415	0.013095089233741091
