Feature	CG_Weighted_mC	CA_Weighted_mC	CT_Weighted_mC	CC_Weighted_mC	CH_Weighted_mC
ENSTGUG00000004696	0.6875	0.07526881720430108	0.04524886877828054	0.0	0.04133333333333333
ENSTGUG00000004719	0.7307692307692307	0.0469208211143695	0.011299435028248588	0.01405152224824356	0.023172905525846704
ENSTGUG00000004731	1.0	0.05555555555555555	0.08888888888888889	0.012987012987012988	0.045454545454545456
ENSTGUG00000004760	0.34285714285714286	0.01263823064770932	0.0018148820326678765	0.0023584905660377358	0.006218905472636816
ENSTGUG00000004803	0.75	0.058823529411764705	0.0	0.0	0.02142857142857143
ENSTGUG00000004832	0.22875816993464052	0.002680965147453083	0.0038910505836575876	0.0	0.002317497103128621
ENSTGUG00000004853	0.7037037037037037	0.045779685264663805	0.02127659574468085	0.0025252525252525255	0.027476038338658148
ENSTGUG00000004856	0.03804347826086957	0.02005730659025788	0.008695652173913044	0.006185567010309278	0.01102629346904156
ENSTGUG00000004890		0.015841584158415842	0.017786561264822136	0.0	0.012772351615326822
ENSTGUG00000004895	0.8571428571428571	0.023411371237458192	0.003929273084479371	0.0018552875695732839	0.010328068043742407
ENSTGUG00000004934	0.13636363636363635	0.017628205128205128	0.009230769230769232	0.0	0.00995899238429994
ENSTGUG00000004945	0.6956521739130435	0.012853470437017995	0.0049504950495049506	0.002183406113537118	0.006394884092725819
ENSTGUG00000004960	0.5	0.022411953041622197	0.012755102040816327	0.004172461752433936	0.013934426229508197
ENSTGUG00000004993	0.42857142857142855	0.014925373134328358	0.0	0.0	0.005917159763313609
ENSTGUG00000004997	0.5125	0.03260869565217391	0.013175230566534914	0.0036900369003690036	0.018318459370596524
ENSTGUG00000004998	1.0	0.0	0.0	0.0	0.0
ENSTGUG00000005028	0.27058823529411763	0.014418125643666324	0.004454342984409799	0.003355704697986577	0.008113590263691683
ENSTGUG00000005059		0.008695652173913044	0.0	0.0	0.0030959752321981426
ENSTGUG00000005062	0.8181818181818182	0.019204389574759947	0.004862236628849271	0.0033333333333333335	0.010935601458080195
ENSTGUG00000005112	0.7837837837837838	0.018315018315018316	0.0	0.0	0.007251631617113851
ENSTGUG00000005124		0.06666666666666667	0.0	0.0	0.030303030303030304
ENSTGUG00000005133	1.0	0.4	0.0967741935483871	0.0	0.13043478260869565
ENSTGUG00000005144	0.5526315789473685	0.03813155386081983	0.01639344262295082	0.0030441400304414	0.02150929639081298
ENSTGUG00000005147	0.37037037037037035	0.03964194373401535	0.019077901430842606	0.008676789587852495	0.025106837606837608
ENSTGUG00000005151	0.8666666666666667	0.03296703296703297	0.007518796992481203	0.008620689655172414	0.018561484918793503
ENSTGUG00000005220	0.64	0.0774487471526196	0.02512562814070352	0.0	0.04251207729468599
ENSTGUG00000005244	0.38095238095238093	0.029829545454545456	0.02613240418118467	0.0	0.02342225113858165
ENSTGUG00000005255	0.3088235294117647	0.06891701828410689	0.014792899408284023	0.002531645569620253	0.03367003367003367
ENSTGUG00000005268	0.050724637681159424	0.017605633802816902	0.008426966292134831	0.0026246719160104987	0.00881488736532811
ENSTGUG00000005326	0.6511627906976745	0.0430939226519337	0.01907032181168057	0.0	0.02469690166142793
ENSTGUG00000005348	0.52	0.07751937984496124	0.006289308176100629	0.0	0.030054644808743168
ENSTGUG00000005420	0.5	0.031007751937984496	0.006430868167202572	0.008264462809917356	0.015942028985507246
ENSTGUG00000005437	0.5294117647058824	0.025540275049115914	0.0036991368680641184	0.0036036036036036037	0.013003355704697987
ENSTGUG00000005496	0.7027027027027027	0.03131991051454139	0.004739336492890996	0.006756756756756757	0.015450643776824034
ENSTGUG00000005526	0.7027027027027027	0.02666666666666667	0.002898550724637681	0.010101010101010102	0.015105740181268883
ENSTGUG00000005528	0.7954545454545454	0.02188183807439825	0.012522361359570662	0.008695652173913044	0.014695077149155033
ENSTGUG00000005541	0.41304347826086957	0.028963414634146343	0.015810276679841896	0.008492569002123142	0.018983466013472138
ENSTGUG00000005579	0.27586206896551724	0.020689655172413793	0.013651877133105802	0.0	0.012547051442910916
ENSTGUG00000005582	0.52	0.027696793002915453	0.014184397163120567	0.006578947368421052	0.017584994138335287
ENSTGUG00000005646	0.5909090909090909	0.050387596899224806	0.023516237402015677	0.0017152658662092624	0.029505582137161084
ENSTGUG00000005671	0.4090909090909091	0.01720647773279352	0.006993006993006993	0.001483679525222552	0.009523809523809525
ENSTGUG00000005695	0.16279069767441862	0.027124773960216998	0.003861003861003861	0.003305785123966942	0.011336515513126491
ENSTGUG00000005733	1.0	0.011058451816745656	0.0018115942028985507	0.002976190476190476	0.005917159763313609
ENSTGUG00000005743	0.1388888888888889	0.25	0.0	0.1	0.125
ENSTGUG00000005745	0.7	0.04856512141280353	0.005208333333333333	0.0	0.022944550669216062
ENSTGUG00000005778	0.7647058823529411	0.06130268199233716	0.017921146953405017	0.0	0.029577464788732393
ENSTGUG00000005782	0.5681818181818182	0.04100946372239748	0.011363636363636364	0.0	0.019320843091334895
ENSTGUG00000005788	0.6818181818181818	0.03553299492385787	0.0	0.0	0.01032448377581121
ENSTGUG00000005790		0.0	0.038461538461538464	0.0	0.017241379310344827
ENSTGUG00000005826	0.703125	0.012571428571428572	0.0011337868480725624	0.0	0.005612722170252572
ENSTGUG00000005872	0.56	0.03722504230118443	0.01597444089456869	0.002012072434607646	0.019253208868144692
ENSTGUG00000005915	0.7666666666666667	0.12368421052631579	0.02631578947368421	0.012195121951219513	0.0691358024691358
ENSTGUG00000005926	0.07692307692307693	0.024822695035460994	0.0110803324099723	0.05785123966942149	0.02356020942408377
ENSTGUG00000005943	0.47368421052631576	0.012861736334405145	0.0033003300330033004	0.0	0.0059665871121718375
ENSTGUG00000005961	0.6129032258064516	0.02359882005899705	0.0036188178528347406	0.0	0.011311269375785506
ENSTGUG00000005983	0.1619047619047619	0.015779092702169626	0.005865102639296188	0.0	0.007334963325183374
ENSTGUG00000005996	0.14285714285714285	0.0044444444444444444	0.004347826086956522	0.0	0.0030581039755351682
ENSTGUG00000006045	0.06837606837606838	0.010416666666666666	0.008620689655172414	0.0	0.005376344086021506
ENSTGUG00000018216	0.0	0.0	0.0	0.0	0.0
ENSTGUG00000006063	0.2692307692307692	0.02999062792877226	0.012332990750256937	0.004511278195488722	0.017375231053604435
ENSTGUG00000006067	0.65625	0.030982905982905984	0.011789924973204717	0.0	0.01563721657544957
ENSTGUG00000006075	0.8305084745762712	0.02857142857142857	0.009259259259259259	0.0	0.01609907120743034
ENSTGUG00000006139			0.0	0.0	0.0
ENSTGUG00000006169	0.37037037037037035	0.07606263982102908	0.052486187845303865	0.0136986301369863	0.049403747870528106
ENSTGUG00000006274	0.4482758620689655	0.052231718898385564	0.018796992481203006	0.0049261083743842365	0.02967479674796748
ENSTGUG00000006375	0.5256410256410257	0.024838012958963283	0.0038860103626943004	0.0	0.012572533849129593
ENSTGUG00000006431	0.3333333333333333	0.022629310344827586	0.007220216606498195	0.005235602094240838	0.0135450723960766
ENSTGUG00000006433	0.6666666666666666	0.03645007923930269	0.008605851979345954	0.0	0.019243986254295534
ENSTGUG00000006438	0.375	0.028288543140028287	0.004672897196261682	0.004246284501061571	0.013736263736263736
ENSTGUG00000006442	0.6666666666666666	0.005376344086021506	0.0	0.0	0.0024009603841536613
ENSTGUG00000006502	0.38636363636363635	0.02120141342756184	0.00641025641025641	0.0	0.009422850412249705
ENSTGUG00000006522	0.8113207547169812	0.013918629550321198	0.002751031636863824	0.0027548209366391185	0.007905138339920948
ENSTGUG00000006619	0.3333333333333333	0.010666666666666666	0.002570694087403599	0.0	0.0048543689320388345
ENSTGUG00000006635	0.6666666666666666	0.012345679012345678	0.006968641114982578	0.0	0.007757404795486601
ENSTGUG00000006646	0.379182156133829	0.036127167630057806	0.010012515644555695	0.0	0.015736766809728183
ENSTGUG00000006670	0.4263565891472868	0.024110218140068886	0.008557457212713936	0.0015105740181268882	0.01233517652062952
ENSTGUG00000006707	0.5714285714285714	0.06002143622722401	0.015286624203821656	0.002232142857142857	0.03185595567867036
ENSTGUG00000006724	0.0	0.011627906976744186	0.018072289156626505	0.0	0.010893246187363835
ENSTGUG00000006739	0.3333333333333333	0.030927835051546393	0.01694915254237288	0.005494505494505495	0.02034587995930824
ENSTGUG00000006777	0.05128205128205128	0.008746355685131196	0.007380073800738007	0.004366812227074236	0.0071174377224199285
ENSTGUG00000006788		0.05466237942122187	0.008064516129032258	0.0	0.02785923753665689
ENSTGUG00000006844	0.44	0.043596730245231606	0.0017331022530329288	0.0	0.020676691729323307
ENSTGUG00000006855	0.37209302325581395	0.043209876543209874	0.010294117647058823	0.002331002331002331	0.022407503908285567
ENSTGUG00000006861	0.024390243902439025	0.02586206896551724	0.01532567049808429	0.0078125	0.017713365539452495
ENSTGUG00000006877	0.25806451612903225	0.04948216340621404	0.016645326504481434	0.004158004158004158	0.02721726888784608
ENSTGUG00000006878	0.3333333333333333	0.06533333333333333	0.013717421124828532	0.006289308176100629	0.03394546466332777
ENSTGUG00000006879	0.43478260869565216	0.03987240829346093	0.006711409395973154	0.007067137809187279	0.020584329349269587
ENSTGUG00000006882	0.0	0.06	0.057692307692307696	0.0	0.04838709677419355
ENSTGUG00000006885	0.2	0.045454545454545456	0.022106631989596878	0.0	0.029136316337148804
ENSTGUG00000006887	0.6363636363636364	0.04838709677419355	0.017684887459807074	0.005434782608695652	0.02751196172248804
ENSTGUG00000007013	0.3684210526315789	0.028286189683860232	0.0038314176245210726	0.0041841004184100415	0.014684287812041116
ENSTGUG00000007017	0.42105263157894735	0.04337050805452292	0.010869565217391304	0.0	0.02294557097118463
ENSTGUG00000007075		0.045454545454545456	0.0	0.0	0.02247191011235955
ENSTGUG00000007076	0.5444444444444444	0.03941730934018852	0.0032948929159802307	0.004081632653061225	0.01700898587933248
ENSTGUG00000007081	0.10810810810810811	0.03125	0.0072992700729927005	0.01744186046511628	0.019189765458422176
ENSTGUG00000007085	0.7857142857142857	0.03474903474903475	0.012195121951219513	0.0058309037900874635	0.020833333333333332
ENSTGUG00000007097	0.023529411764705882	0.0	0.0	0.0037313432835820895	0.0019083969465648854
ENSTGUG00000007103	0.5714285714285714	0.07309486780715396	0.01174496644295302	0.0	0.03643724696356275
ENSTGUG00000007158	0.0			0.0	0.0
ENSTGUG00000007181	0.5217391304347826	0.028967254408060455	0.007653061224489796	0.0069084628670120895	0.015299026425591099
ENSTGUG00000007212	0.7894736842105263	0.03734439834024896	0.008385744234800839	0.0033222591362126247	0.018253968253968255
ENSTGUG00000007219	0.8695652173913043	0.04015056461731493	0.005649717514124294	0.002320185614849188	0.019111570247933883
ENSTGUG00000007233	0.0	0.007984031936127744	0.005555555555555556	0.003875968992248062	0.006158583525789068
ENSTGUG00000007276	0.32142857142857145	0.015427769985974754	0.004451038575667656	0.002352941176470588	0.008278145695364239
ENSTGUG00000007280	0.631578947368421	0.024390243902439025	0.008595988538681949	0.005865102639296188	0.014631401238041642
ENSTGUG00000007289	0.2571428571428571	0.020050125313283207	0.005141388174807198	0.012121212121212121	0.012554321583775953
ENSTGUG00000007308	0.2857142857142857	0.023206751054852322	0.007263922518159807	0.010067114093959731	0.014345991561181435
ENSTGUG00000007332		0.0	0.0	0.0	0.0
ENSTGUG00000007346	0.6739130434782609	0.048143053645116916	0.025139664804469275	0.009324009324009324	0.030448717948717948
ENSTGUG00000007411	0.45	0.016728624535315983	0.005791505791505791	0.0	0.00904295403165034
ENSTGUG00000007431	1.0	0.023138832997987926	0.008648648648648649	0.01192504258943782	0.015163607342378291
ENSTGUG00000007447	0.3333333333333333	0.028871391076115485	0.00980392156862745	0.0	0.015991471215351813
ENSTGUG00000007449	0.525	0.016713091922005572	0.008379888268156424	0.0	0.008832188420019628
ENSTGUG00000007450	0.3684210526315789	0.02261904761904762	0.005952380952380952	0.002777777777777778	0.01282051282051282
