Feature	CG_Weighted_mC	CA_Weighted_mC	CT_Weighted_mC	CC_Weighted_mC	CH_Weighted_mC
ENSTGUG00000004696	0.5	0.046511627906976744	0.04065040650406504	0.027522935779816515	0.038781163434903045
ENSTGUG00000004719	0.5357142857142857	0.10852713178294573	0.014285714285714285	0.023809523809523808	0.04576659038901602
ENSTGUG00000004731	0.0	0.0423728813559322	0.028037383177570093	0.0	0.0226628895184136
ENSTGUG00000004760	0.13253012048192772	0.011869436201780416	0.004622496147919877	0.004132231404958678	0.007194244604316547
ENSTGUG00000004803	0.5	0.08771929824561403	0.06818181818181818	0.013333333333333334	0.05113636363636364
ENSTGUG00000004832	0.2080536912751678	0.00303951367781155	0.0	0.0	0.00130718954248366
ENSTGUG00000004853	0.8928571428571429	0.06301369863013699	0.03469387755102041	0.00975609756097561	0.041104294478527606
ENSTGUG00000004856	0.08450704225352113	0.0	0.002890173410404624	0.0	0.0009930486593843098
ENSTGUG00000004877		0.0	0.0	0.0	0.0
ENSTGUG00000004890		0.04111405835543767	0.018970189701897018	0.0021413276231263384	0.02348136804492088
ENSTGUG00000004895	0.6666666666666666	0.034722222222222224	0.001488095238095238	0.006329113924050633	0.014822134387351778
ENSTGUG00000004934	0.3548387096774194	0.017035775127768313	0.01289134438305709	0.0022727272727272726	0.011464968152866241
ENSTGUG00000004945	0.65	0.009966777408637873	0.01048951048951049	0.0	0.007001166861143524
ENSTGUG00000004960	0.5555555555555556	0.020338983050847456	0.003827751196172249	0.0	0.009247027741083224
ENSTGUG00000004993	0.5384615384615384	0.011627906976744186	0.0	0.0	0.004310344827586207
ENSTGUG00000004997	0.5857142857142857	0.05774278215223097	0.021067415730337078	0.006012024048096192	0.031424227065382664
ENSTGUG00000004998		0.18181818181818182	0.0		0.15384615384615385
ENSTGUG00000005028	0.1267605633802817	0.023809523809523808	0.002304147465437788	0.001694915254237288	0.010948905109489052
ENSTGUG00000005059	0.0	0.015151515151515152	0.0	0.0	0.0058823529411764705
ENSTGUG00000005062	0.7777777777777778	0.015779092702169626	0.004434589800443459	0.001968503937007874	0.008663366336633664
ENSTGUG00000005112	0.23076923076923078	0.01702127659574468	0.006521739130434782	0.004149377593360996	0.010247651579846286
ENSTGUG00000005124		0.0	0.0	0.0	0.0
ENSTGUG00000005144	0.48214285714285715	0.07917059377945335	0.026732673267326732	0.0	0.04141791044776119
ENSTGUG00000005147	0.21951219512195122	0.05018587360594796	0.03344120819848975	0.005449591280653951	0.03251735476799415
ENSTGUG00000005151	0.7894736842105263	0.02247191011235955	0.008	0.008695652173913044	0.014354066985645933
ENSTGUG00000005220	0.4772727272727273	0.03985507246376811	0.0213903743315508	0.0	0.02448775612193903
ENSTGUG00000005244	0.5625	0.03732809430255403	0.013959390862944163	0.01348314606741573	0.024433585073300755
ENSTGUG00000005255	0.36923076923076925	0.0644361833952912	0.004243281471004243	0.0	0.028292181069958847
ENSTGUG00000005268	0.10759493670886076	0.0412621359223301	0.007425742574257425	0.0024330900243309003	0.017114914425427872
ENSTGUG00000005326	0.29411764705882354	0.037070524412296565	0.028985507246376812	0.0061068702290076335	0.02682403433476395
ENSTGUG00000005348	0.7142857142857143	0.029850746268656716	0.034482758620689655	0.0	0.02631578947368421
