Feature	CG_Weighted_mC	CA_Weighted_mC	CT_Weighted_mC	CC_Weighted_mC	CH_Weighted_mC
ENSTGUG00000004696	0.20833333333333334	0.07581227436823104	0.01968503937007874	0.004	0.034571062740076826
ENSTGUG00000004719	0.5714285714285714	0.08571428571428572	0.0	0.0	0.0234375
ENSTGUG00000004731	1.0	0.05714285714285714	0.03773584905660377	0.0	0.029850746268656716
ENSTGUG00000004746	0.5	0.0	0.0	0.0	0.0
ENSTGUG00000004760	0.14432989690721648	0.015081206496519721	0.008838383838383838	0.0017211703958691911	0.009395973154362415
ENSTGUG00000004803	0.36363636363636365	0.056179775280898875	0.07042253521126761	0.02142857142857143	0.043333333333333335
ENSTGUG00000004832	0.28440366972477066	0.003472222222222222	0.005555555555555556	0.005813953488372093	0.0046875
ENSTGUG00000004853	0.8571428571428571	0.06790123456790123	0.014705882352941176	0.0	0.033191489361702124
ENSTGUG00000004856	0.023809523809523808	0.008571428571428572	0.0	0.0045662100456621	0.004212299915754001
ENSTGUG00000004877	0.6666666666666666	0.030303030303030304	0.03773584905660377	0.0	0.02727272727272727
ENSTGUG00000004890		0.022257551669316374	0.016363636363636365	0.002717391304347826	0.015513897866839044
ENSTGUG00000004895	0.84	0.024128686327077747	0.006932409012131715	0.006015037593984963	0.013078470824949699
ENSTGUG00000004934	0.4	0.009111617312072893	0.004987531172069825	0.0	0.005226480836236934
ENSTGUG00000004945	0.6923076923076923	0.00641025641025641	0.003389830508474576	0.0033003300330033004	0.004395604395604396
ENSTGUG00000004960	0.36666666666666664	0.013157894736842105	0.009554140127388535	0.0017211703958691911	0.008633824276282377
ENSTGUG00000004993	0.4	0.056074766355140186	0.0	0.0	0.021897810218978103
ENSTGUG00000004997	0.5217391304347826	0.05348460291734198	0.02891156462585034	0.002531645569620253	0.031875
ENSTGUG00000004998	1.0	0.041666666666666664	0.03571428571428571	0.0	0.029850746268656716
ENSTGUG00000005028	0.1875	0.024630541871921183	0.00411522633744856	0.0022002200220022	0.011847672778561354
ENSTGUG00000005062	0.8131868131868132	0.020145044319097503	0.004077471967380225	0.001589825119236884	0.01052262364082778
ENSTGUG00000005112	0.6521739130434783	0.00684931506849315	0.012345679012345678	0.0049261083743842365	0.008604206500956023
