Feature	CG_Weighted_mC	CA_Weighted_mC	CT_Weighted_mC	CC_Weighted_mC	CH_Weighted_mC
ENSTGUG00000004696	0.47058823529411764	0.0430622009569378	0.024390243902439025	0.009569377990430622	0.025682182985553772
ENSTGUG00000004719	0.23809523809523808	0.029411764705882353	0.031746031746031744	0.06	0.04114490161001789
ENSTGUG00000004731	0.5	0.005952380952380952	0.013422818791946308	0.0	0.0055248618784530384
ENSTGUG00000004760	0.19148936170212766	0.013157894736842105	0.0	0.0	0.005063291139240506
ENSTGUG00000004803	0.0	0.0	0.04	0.025	0.020833333333333332
ENSTGUG00000004832	0.2014388489208633	0.020066889632107024	0.00966183574879227	0.0	0.010752688172043012
ENSTGUG00000004853	0.6136363636363636	0.03900709219858156	0.016666666666666666	0.0	0.02262090483619345
ENSTGUG00000004856	0.027777777777777776	0.008928571428571428	0.0031645569620253164	0.0	0.0032822757111597373
ENSTGUG00000004877	1.0	0.0	0.0	0.0	0.0
ENSTGUG00000004890		0.01907032181168057	0.004728132387706856	0.0019120458891013384	0.009510869565217392
ENSTGUG00000004895	0.5	0.028846153846153848	0.004123711340206186	0.002277904328018223	0.013565891472868217
ENSTGUG00000004934	0.4642857142857143	0.016897081413210446	0.0015625	0.006289308176100629	0.008484162895927601
ENSTGUG00000004945	0.8095238095238095	0.002617801047120419	0.007936507936507936	0.0	0.0035211267605633804
ENSTGUG00000004960	0.46153846153846156	0.011560693641618497	0.004	0.0	0.005914972273567467
ENSTGUG00000004993	1.0	0.0	0.0	0.0	0.0
ENSTGUG00000004997	0.42105263157894735	0.01749271137026239	0.010362694300518135	0.0	0.010727056019070322
ENSTGUG00000005028	0.21818181818181817	0.010819165378670788	0.005902192242833052	0.002386634844868735	0.006931886678722122
ENSTGUG00000005059		0.0	0.0	0.0	0.0
ENSTGUG00000005062	0.7647058823529411	0.010895883777239709	0.004213483146067416	0.0022988505747126436	0.006588950836289914
ENSTGUG00000005112	0.41379310344827586	0.002178649237472767	0.0045045045045045045	0.0	0.002638522427440633
ENSTGUG00000005116			0.0		0.0
ENSTGUG00000005124	0.0	0.08823529411764706	0.030303030303030304	0.0	0.047058823529411764
ENSTGUG00000005133	0.5	0.027777777777777776	0.045454545454545456	0.03225806451612903	0.036036036036036036
ENSTGUG00000005144	0.49295774647887325	0.035595105672969966	0.011961722488038277	0.00825082508250825	0.02007689021785562
ENSTGUG00000005147	0.2830188679245283	0.027312775330396475	0.019250253292806486	0.003129890453834116	0.018833755885548715
ENSTGUG00000005151	0.6842105263157895	0.009174311926605505	0.012345679012345678	0.0	0.0072992700729927005
ENSTGUG00000005220	0.45454545454545453	0.07094594594594594	0.0037735849056603774	0.0	0.03044982698961938
ENSTGUG00000005244	0.34285714285714286	0.041474654377880185	0.030133928571428572	0.006237006237006237	0.030463038180341188
ENSTGUG00000005255	0.2376237623762376	0.06474820143884892	0.0136986301369863	0.0057251908396946565	0.03146691346598797
ENSTGUG00000005268	0.10569105691056911	0.036065573770491806	0.008403361344537815	0.0032679738562091504	0.015495867768595042
ENSTGUG00000005326	0.8148148148148148	0.038872691933916424	0.022977022977022976	0.0	0.024202842873607376
ENSTGUG00000005348	0.5333333333333333	0.0425531914893617	0.011235955056179775	0.0	0.025735294117647058
ENSTGUG00000005420		0.09615384615384616	0.0	0.0	0.03367003367003367
ENSTGUG00000005437	0.46153846153846156	0.030831099195710455	0.005050505050505051	0.002386634844868735	0.015349630471859011
ENSTGUG00000005496	0.8181818181818182	0.011811023622047244	0.011811023622047244	0.0	0.009202453987730062
ENSTGUG00000005526	0.5	0.01662049861495845	0.010526315789473684	0.0	0.011306532663316583
ENSTGUG00000005528	0.5833333333333334	0.03416856492027335	0.005893909626719057	0.006493506493506494	0.01592356687898089
ENSTGUG00000005541	0.16071428571428573	0.0316622691292876	0.010057471264367816	0.001841620626151013	0.01602403605408112
ENSTGUG00000005579	0.6	0.05622489959839357	0.013953488372093023	0.0	0.02711323763955343
ENSTGUG00000005582	0.42105263157894735	0.03926701570680628	0.009174311926605505	0.007233273056057866	0.020294266869609334
ENSTGUG00000005618	1.0	0.0	0.0	0.0	0.0
ENSTGUG00000005646	0.6206896551724138	0.03062117235345582	0.016798418972332016	0.0	0.019330855018587362
ENSTGUG00000005671	0.37209302325581395	0.0203862660944206	0.00995575221238938	0.00715307582260372	0.01301775147928994
ENSTGUG00000005695	0.3068181818181818	0.04259259259259259	0.011299435028248588	0.0	0.018125
ENSTGUG00000005733	0.7	0.02275960170697013	0.004594180704441042	0.002288329519450801	0.011154489682097044
ENSTGUG00000005743	0.0			0.0	0.0
ENSTGUG00000005745	0.7058823529411765	0.06390977443609022	0.011655011655011656	0.0	0.03285593934288121
ENSTGUG00000005778	0.375	0.05517241379310345	0.02608695652173913	0.0048543689320388345	0.030915576694411414
ENSTGUG00000005782	0.5423728813559322	0.04479283314669653	0.011641443538998836	0.006299212598425197	0.02262253875157101
ENSTGUG00000005788	0.6842105263157895	0.04424778761061947	0.03546099290780142	0.011494252873563218	0.028037383177570093
ENSTGUG00000005790		0.0	0.05	0.0	0.019230769230769232
ENSTGUG00000005826	0.7560975609756098	0.020520915548539857	0.0034782608695652175	0.0	0.010351966873706004
ENSTGUG00000005872	0.6666666666666666	0.04551920341394026	0.011544011544011544	0.0	0.02081165452653486
ENSTGUG00000005884	1.0	0.0	0.0	0.0	0.0
ENSTGUG00000005915	0.6538461538461539	0.10975609756097561	0.02145922746781116	0.006289308176100629	0.05172413793103448
ENSTGUG00000005926	0.09090909090909091	0.01556420233463035	0.01090909090909091	0.01818181818181818	0.014018691588785047
ENSTGUG00000005943	0.8181818181818182	0.038135593220338986	0.004784688995215311	0.0	0.01692047377326565
ENSTGUG00000005961	0.6	0.03969022265246854	0.015136226034308779	0.0017064846416382253	0.021839080459770115
ENSTGUG00000005983	0.2962962962962963	0.005226480836236934	0.0027739251040221915	0.0	0.002696871628910464
ENSTGUG00000005996	0.07692307692307693	0.014084507042253521	0.0	0.014492753623188406	0.008928571428571428
ENSTGUG00000006045	0.16666666666666666	0.0	0.0	0.0	0.0
ENSTGUG00000018216	0.05555555555555555	0.0	0.0	0.0	0.0
ENSTGUG00000006063	0.5483870967741935	0.029838022165387893	0.00471253534401508	0.0012224938875305623	0.013433813892529489
ENSTGUG00000006067	0.527027027027027	0.04834905660377359	0.013205282112845138	0.0015015015015015015	0.02258201959948871
ENSTGUG00000006075	0.7717391304347826	0.02620967741935484	0.006688963210702341	0.005063291139240506	0.0148861646234676
ENSTGUG00000006139			0.0	0.0	0.0
ENSTGUG00000006169	0.1875	0.03993344425956739	0.008264462809917356	0.005376344086021506	0.02059025394646534
ENSTGUG00000006274	0.47619047619047616	0.03639846743295019	0.01859229747675963	0.007168458781362007	0.0237791932059448
ENSTGUG00000006375	0.42857142857142855	0.02931937172774869	0.009400705052878966	0.0	0.016260162601626018
ENSTGUG00000006431	0.7391304347826086	0.022857142857142857	0.006923837784371909	0.0	0.012731902510003638
ENSTGUG00000006433	0.484375	0.026160337552742614	0.008166969147005444	0.0	0.014456089627755691
ENSTGUG00000006438	0.5523809523809524	0.01777362020579981	0.011375387797311272	0.0014265335235378032	0.0113262696382901
ENSTGUG00000006442	0.7109826589595376	0.004884004884004884	0.0007704160246533128	0.003257328990228013	0.0030985915492957746
ENSTGUG00000006502	0.2727272727272727	0.014326647564469915	0.0	0.005420054200542005	0.006357856494096276
ENSTGUG00000006522	0.8095238095238095	0.012345679012345678	0.002103049421661409	0.0019723865877712033	0.006734006734006734
ENSTGUG00000006619	0.36486486486486486	0.011945392491467578	0.0035650623885918	0.00554016620498615	0.007294429708222812
ENSTGUG00000006635	0.42028985507246375	0.02141157811260904	0.001813236627379873	0.0	0.009900990099009901
ENSTGUG00000006646	0.49666666666666665	0.04289544235924933	0.011568123393316195	0.003278688524590164	0.02014995313964386
ENSTGUG00000006670	0.47413793103448276	0.027925531914893616	0.004580152671755725	0.004319654427645789	0.013903743315508022
ENSTGUG00000006707	0.7073170731707317	0.03625	0.015942028985507246	0.012987012987012988	0.024
ENSTGUG00000006724		0.029850746268656716	0.037037037037037035	0.0	0.031007751937984496
ENSTGUG00000006739	0.35294117647058826	0.012711864406779662	0.010869565217391304	0.0	0.00983284169124877
ENSTGUG00000006777	0.07272727272727272	0.004796163069544364	0.0053475935828877	0.0	0.003693444136657433
ENSTGUG00000006788		0.043233082706766915	0.016241299303944315	0.00510204081632653	0.026747195858498704
ENSTGUG00000006844	0.4074074074074074	0.018823529411764704	0.0	0.0	0.008662696264212236
ENSTGUG00000006855	0.40476190476190477	0.044673539518900345	0.016971279373368148	0.0	0.02507232401157184
ENSTGUG00000006861	0.0	0.03333333333333333	0.006644518272425249	0.004629629629629629	0.015247776365946633
ENSTGUG00000006877	0.4423076923076923	0.043617021276595745	0.016198704103671708	0.00423728813559322	0.02480752780153978
ENSTGUG00000006878	1.0	0.02986425339366516	0.011190233977619531	0.0	0.01752988047808765
ENSTGUG00000006879	0.48	0.045828437132784956	0.01553829078801332	0.0024937655860349127	0.025081281932187643
ENSTGUG00000006882	0.0	0.022727272727272728	0.019230769230769232	0.0	0.017341040462427744
ENSTGUG00000006885	0.3103448275862069	0.047660311958405546	0.020590868397493287	0.0023584905660377358	0.029313543599257884
ENSTGUG00000006887	0.5957446808510638	0.03961748633879782	0.009408602150537635	0.003929273084479371	0.019143576826196475
ENSTGUG00000007013	0.358974358974359	0.022566995768688293	0.004424778761061947	0.003257328990228013	0.011806375442739079
ENSTGUG00000007017	0.4375	0.033276450511945395	0.014326647564469915	0.002109704641350211	0.020423319717786857
ENSTGUG00000007075	1.0	0.0	0.0	0.0	0.0
ENSTGUG00000007076	0.38666666666666666	0.030719482619240096	0.008819538670284939	0.0	0.014390519187358916
ENSTGUG00000007081	0.11842105263157894	0.02027027027027027	0.0	0.010256410256410256	0.010638297872340425
ENSTGUG00000007085	0.7058823529411765	0.026652452025586353	0.013398294762484775	0.007211538461538462	0.01793103448275862
ENSTGUG00000007097	0.024390243902439025	0.0	0.006493506493506494	0.0034602076124567475	0.003389830508474576
ENSTGUG00000007103	0.7647058823529411	0.06857142857142857	0.01752021563342318	0.006024096385542169	0.038481272447408926
ENSTGUG00000007158	0.0	0.0	0.0	0.0	0.0
ENSTGUG00000007181	0.5568181818181818	0.02383419689119171	0.009489916963226572	0.00686106346483705	0.014638226683396068
ENSTGUG00000007212	0.8666666666666667	0.037275064267352186	0.007978723404255319	0.009615384615384616	0.01951219512195122
