Feature	CG_Weighted_mC	CA_Weighted_mC	CT_Weighted_mC	CC_Weighted_mC	CH_Weighted_mC
ENSTGUG00000004696	0.3333333333333333	0.043936731107205626	0.01098901098901099	0.005825242718446602	0.021442495126705652
ENSTGUG00000004719	0.5579710144927537	0.03254067584480601	0.015053763440860216	0.012149532710280374	0.01893533404787424
ENSTGUG00000004731	0.2857142857142857	0.043689320388349516	0.04265402843601896	0.0	0.026627218934911243
ENSTGUG00000004746	0.2727272727272727	0.017543859649122806	0.0	0.0	0.006711409395973154
ENSTGUG00000004760	0.241635687732342	0.006130790190735695	0.002328288707799767	0.0015881418740074113	0.0036476627938395027
ENSTGUG00000004803	0.14285714285714285	0.02112676056338028	0.008403361344537815	0.004830917874396135	0.010683760683760684
ENSTGUG00000004832	0.19873150105708245	0.008045052292839904	0.0012254901960784314	0.0013175230566534915	0.0042583392476933995
ENSTGUG00000004853	0.8516129032258064	0.04490644490644491	0.01638418079096045	0.005331302361005331	0.026239067055393587
ENSTGUG00000004856	0.026916802610114192	0.0024429967426710096	0.002066115702479339	0.0023894862604540022	0.0022967386311437757
ENSTGUG00000004877		0.0	0.0	0.0	0.0
ENSTGUG00000004890		0.014258555133079848	0.005958291956305859	0.0	0.00776914539400666
ENSTGUG00000004895	0.6376811594202898	0.013962445835339432	0.0011799410029498525	0.0017964071856287425	0.006247703050349137
ENSTGUG00000004934	0.2835820895522388	0.012168933428775949	0.005925925925925926	0.003864734299516908	0.007667900581702803
ENSTGUG00000004945	0.6101694915254238	0.006909547738693468	0.0	0.0006082725060827251	0.002576766158471119
ENSTGUG00000004947		0.0	0.0	0.0	0.0
ENSTGUG00000004960	0.5986842105263158	0.017598637524836785	0.0031545741324921135	0.0016771488469601676	0.008371888081075127
ENSTGUG00000004993	0.625	0.01875	0.0	0.0	0.007481296758104738
ENSTGUG00000004997	0.4408866995073892	0.019774870702768482	0.008872822872165627	0.0013568521031207597	0.011122819341997424
ENSTGUG00000004998	0.8571428571428571	0.04225352112676056	0.0	0.0	0.015
ENSTGUG00000005028	0.19855595667870035	0.03203342618384401	0.010375343301800427	0.0031028368794326243	0.017099638276882604
ENSTGUG00000005059	0.125	0.013100436681222707	0.0058823529411764705	0.0	0.00784313725490196
ENSTGUG00000005062	0.6837944664031621	0.012901593726283835	0.0051005100510051	0.0015455950540958269	0.0076948087135580365
ENSTGUG00000005112	0.18181818181818182	0.005710206995003569	0.002067539627842867	0.0012626262626262627	0.003293084522502744
ENSTGUG00000005116		0.0	0.0	0.0	0.0
ENSTGUG00000005124		0.047619047619047616	0.017543859649122806	0.0	0.02531645569620253
ENSTGUG00000005133	0.0	0.02564102564102564	0.0	0.0	0.011627906976744186
ENSTGUG00000005144	0.4213197969543147	0.029846153846153845	0.010822510822510822	0.001776988005330964	0.015569547796222095
ENSTGUG00000005147	0.296551724137931	0.03254149040026033	0.008640120210368144	0.006918573709419904	0.017861833464670344
ENSTGUG00000005151	0.7280701754385965	0.013605442176870748	0.011666666666666667	0.0	0.00977869274318065
ENSTGUG00000005220	0.4700854700854701	0.029451137884872823	0.008192244675040962	0.0009372071227741331	0.01595641175325939
ENSTGUG00000005244	0.34710743801652894	0.025996533795493933	0.01282051282051282	0.00945179584120983	0.017997171872991387
ENSTGUG00000005255	0.21161825726141079	0.03421760861207228	0.007302231237322515	0.0006830601092896175	0.01653905053598775
ENSTGUG00000005268	0.1374764595103578	0.019422863485016647	0.004724409448818898	0.0011785503830288745	0.008512213175425611
ENSTGUG00000005326	0.49473684210526314	0.02771855010660981	0.014332071389940509	0.004187994416007445	0.017293468069590583
ENSTGUG00000005348	0.7397260273972602	0.028985507246376812	0.022727272727272728	0.0	0.02147239263803681
ENSTGUG00000005420	0.8181818181818182	0.024390243902439025	0.007736943907156673	0.002364066193853428	0.013519049569848422
ENSTGUG00000005437	0.3356643356643357	0.02416812609457093	0.003524229074889868	0.002317497103128621	0.011823091519486207
ENSTGUG00000005496	0.6593406593406593	0.02622673434856176	0.008865248226950355	0.005943536404160475	0.015085484411666107
ENSTGUG00000005526	0.5406976744186046	0.012873326467559218	0.003259452411994785	0.0	0.006947660954145438
ENSTGUG00000005528	0.6829268292682927	0.02526439482961222	0.009148084619782733	0.003784295175023652	0.013975155279503106
ENSTGUG00000005541	0.19047619047619047	0.015017064846416382	0.007972665148063782	0.004595588235294118	0.009689922480620155
ENSTGUG00000005579	0.41818181818181815	0.047879616963064295	0.0016638935108153079	0.0021008403361344537	0.020464601769911505
ENSTGUG00000005582	0.6046511627906976	0.02258185923974407	0.0055178268251273345	0.007579585649317837	0.012585812356979404
ENSTGUG00000005618	0.7692307692307693	0.016666666666666666	0.03125	0.0	0.017241379310344827
ENSTGUG00000005646	0.4626865671641791	0.018391435629975295	0.006377551020408163	0.0015519917227108122	0.010330578512396695
ENSTGUG00000005671	0.39194139194139194	0.020181634712411706	0.005896635449184877	0.0023234200743494425	0.01023976023976024
ENSTGUG00000005695	0.11764705882352941	0.016778523489932886	0.0071396697902722	0.0008463817181548879	0.008299942759015456
ENSTGUG00000005733	0.7419354838709677	0.010796221322537112	0.0028929604628736743	0.004862236628849271	0.006508768757909962
ENSTGUG00000005743	0.0	0.0	0.0	0.0	0.0
ENSTGUG00000005745	0.5294117647058824	0.03592181722134179	0.010137149672033392	0.0024813895781637717	0.019881170018281536
ENSTGUG00000005778	0.4928571428571429	0.019444444444444445	0.00988793671720501	0.0	0.011274252753015208
ENSTGUG00000005782	0.388646288209607	0.034930950446791224	0.008301051466519093	0.004122011541632316	0.017363608342751465
ENSTGUG00000005788	0.5507246376811594	0.02033492822966507	0.011507479861910242	0.0	0.0101427498121713
ENSTGUG00000005790	0.3333333333333333	0.0	0.0	0.0	0.0
ENSTGUG00000005826	0.7320754716981132	0.010705462530881142	0.0025944076102623233	0.0006265664160401002	0.005627009646302251
ENSTGUG00000005872	0.6666666666666666	0.03341540626099191	0.01100070972320795	0.002311604253351826	0.016743353783231083
ENSTGUG00000005884	0.8	0.009708737864077669	0.0	0.0	0.004
ENSTGUG00000005915	0.5446428571428571	0.039301310043668124	0.006233303650934996	0.0	0.017356475300400534
ENSTGUG00000005926	0.08333333333333333	0.030959752321981424	0.006613756613756613	0.030100334448160536	0.019988242210464434
ENSTGUG00000005943	0.58	0.0285935085007728	0.006324110671936759	0.0	0.013223626212165737
ENSTGUG00000005961	0.5933333333333334	0.01659177324576564	0.0056990881458966565	0.00125	0.009122807017543859
ENSTGUG00000005983	0.13020833333333334	0.01406563965170797	0.0034965034965034965	0.003843197540353574	0.007095343680709534
ENSTGUG00000005996	0.03067484662576687	0.007380073800738007	0.0	0.0	0.0026263952724885093
ENSTGUG00000006045	0.20279720279720279	0.006872852233676976	0.003125	0.004291845493562232	0.004739336492890996
ENSTGUG00000018216	0.0	0.0	0.0	0.0	0.0
