Feature	CG_Weighted_mC	CA_Weighted_mC	CT_Weighted_mC	CC_Weighted_mC	CH_Weighted_mC
ENSTGUG00000004696	0.0	0.07246376811594203	0.024390243902439025	0.0	0.03056768558951965
ENSTGUG00000004719	0.6285714285714286	0.010256410256410256	0.01702127659574468	0.012	0.013235294117647059
ENSTGUG00000004731	0.0	0.0	0.0	0.0	0.0
ENSTGUG00000004746				0.0	0.0
ENSTGUG00000004760	0.2191780821917808	0.019202363367799114	0.004846526655896607	0.0	0.008928571428571428
ENSTGUG00000004803	0.09523809523809523	0.012987012987012988	0.018518518518518517	0.015384615384615385	0.01532567049808429
ENSTGUG00000004832	0.1941747572815534	0.005649717514124294	0.0	0.006756756756756757	0.0043859649122807015
ENSTGUG00000004853	0.7777777777777778	0.03466204506065858	0.01715686274509804	0.013333333333333334	0.024124513618677044
ENSTGUG00000004856	0.06734006734006734	0.024844720496894408	0.008695652173913044	0.005681818181818182	0.012757605495583905
ENSTGUG00000004890		0.026607538802660754	0.011337868480725623	0.0	0.014769765421372719
ENSTGUG00000004895	0.68	0.011461318051575931	0.004975124378109453	0.0033500837520938024	0.00684931506849315
ENSTGUG00000004934	0.125	0.01824817518248175	0.006711409395973154	0.0	0.00909090909090909
ENSTGUG00000004945	0.4	0.004273504273504274	0.0	0.0038910505836575876	0.002770083102493075
ENSTGUG00000004947		0.0	0.0	0.0	0.0
ENSTGUG00000004960	0.4411764705882353	0.016129032258064516	0.0029717682020802376	0.0	0.007403490216816499
ENSTGUG00000004993	0.5	0.020833333333333332	0.0	0.0	0.0072992700729927005
ENSTGUG00000004997	0.3595505617977528	0.037868162692847124	0.00945945945945946	0.003875968992248062	0.018283392585068562
ENSTGUG00000004998		0.0			0.0
ENSTGUG00000005028	0.10975609756097561	0.031070195627157654	0.008403361344537815	0.0035714285714285713	0.015915119363395226
ENSTGUG00000005059	1.0	0.037037037037037035	0.0	0.0	0.011111111111111112
ENSTGUG00000005062	0.7721518987341772	0.027624309392265192	0.008465608465608466	0.0017241379310344827	0.01493680582152432
ENSTGUG00000005112	0.4117647058823529	0.009456264775413711	0.006818181818181818	0.0	0.006261180679785331
ENSTGUG00000005124		0.045454545454545456	0.029411764705882353	0.0	0.02564102564102564
ENSTGUG00000005133	0.875	0.07471264367816093	0.03125	0.031746031746031744	0.052054794520547946
