id	sampleA	sampleB	baseMeanA	baseMeanB	log2FC	pval	padj
ENSTGUG00000001252	FCH	FTH	2548.83743838989	1170.13089336106	1.00557043010074	1.67456497941982e-05	0.0111586173747764
ENSTGUG00000001927	FCH	FTH	344.407637707377	122.064268282287	1.18309487480423	0.000130322872541874	0.0354352797997226
ENSTGUG00000003014	FCH	FTH	0	17.8152260638769	-1.93634792746713	3.12024700844722e-07	0.000724175899442652
ENSTGUG00000008587	FCH	FTH	4.24370568011922	34.2685031241518	-1.6530544786298	1.23775864368078e-05	0.00957568398328514
ENSTGUG00000008725	FCH	FTH	263.446778678791	63.8556765999441	1.40053690487709	7.67974296905081e-05	0.0262393822922044
ENSTGUG00000008902	FCH	FTH	33.8949796282142	197.723273559283	-1.47890751840082	8.2312820748876e-05	0.0270156497796248
ENSTGUG00000009232	FCH	FTH	62.8108593608688	175.179119298625	-1.19451566012763	7.56714376755175e-05	0.0261552563063023
ENSTGUG00000010805	FCH	FTH	336.243748029634	2048.85100566459	-1.68561414673462	3.55563962988997e-06	0.00420114984269818
ENSTGUG00000011007	FCH	FTH	354.788010290288	1559.35712529125	-1.4249411071048	7.2424580573681e-05	0.0254301109414109
ENSTGUG00000013081	FCH	FTH	114.842730413938	379.126795919163	-1.29245396641618	9.41729346091212e-05	0.0294222507479507
ENSTGUG00000000261	FCNT	FTNT	416.536103959251	109.409704317371	1.25566904908941	8.07691125340937e-05	0.0267794937654494
ENSTGUG00000000272	FCNT	FTNT	1425.33130577927	931.780495976748	0.58576479994075	2.39927177196367e-05	0.0133930398502627
ENSTGUG00000000313	FCNT	FTNT	928.635283595181	591.715026729287	0.618757571317574	1.97395188362015e-05	0.0118634104441237
ENSTGUG00000000658	FCNT	FTNT	1210.73727430847	577.550496358849	0.983733912284737	5.23816463815246e-08	0.000212751330631461
ENSTGUG00000001005	FCNT	FTNT	175.989936572956	87.3113119320607	0.875663128872383	0.000120405756212692	0.0338725890367178
ENSTGUG00000001273	FCNT	FTNT	453.181227594259	79.0211346856463	1.30227561323745	9.90244351807339e-05	0.0303542590576415
ENSTGUG00000001304	FCNT	FTNT	779.477516434993	150.110771399609	1.47251766694772	5.53094428297382e-06	0.00552021353449987
ENSTGUG00000001713	FCNT	FTNT	145.73759179708	50.3078053666873	1.23881798427914	2.65398806261207e-06	0.00351978396426215
ENSTGUG00000001798	FCNT	FTNT	1064.04607697879	84.4236395243113	2.42850335164818	8.61985763290633e-15	1.86720482758139e-10
ENSTGUG00000001874	FCNT	FTNT	310.460800784368	51.6547922549918	1.36171733884648	4.56734060140312e-05	0.0190261941655245
ENSTGUG00000001926	FCNT	FTNT	1240.67288624222	2235.04162490161	-0.776074561601409	3.76290753052187e-05	0.0168643135083423
ENSTGUG00000001927	FCNT	FTNT	601.575591999109	82.0658402587721	1.74462042532226	8.25808459225489e-08	0.000298139792904269
ENSTGUG00000002277	FCNT	FTNT	205.555460700949	32.8724087364763	1.62631709911759	5.2454677750848e-07	0.000973933495325387
ENSTGUG00000002410	FCNT	FTNT	823.641042450113	281.915873708539	1.16361917249228	5.66981646114676e-05	0.0219317275433109
ENSTGUG00000002978	FCNT	FTNT	858.657098896725	369.967856325772	1.05706587649501	2.83750568106457e-06	0.00368790613367962
ENSTGUG00000003043	FCNT	FTNT	576.008469834779	240.221335855666	1.02833730311027	7.93380546759844e-05	0.0264399152980454
ENSTGUG00000003897	FCNT	FTNT	981.706071691272	722.633399225045	0.430505533571108	5.03050828717677e-05	0.0201794803112458
ENSTGUG00000003929	FCNT	FTNT	174.020295358321	65.374505869981	1.08688270355476	0.000116860465633721	0.0335222376491631
ENSTGUG00000004321	FCNT	FTNT	1315.80808924365	354.976951212663	1.31833815713714	1.76359759976423e-05	0.011347266338681
ENSTGUG00000004554	FCNT	FTNT	333.552702398658	126.519242557522	1.15392538296502	6.0875215324525e-06	0.00581761157038861
ENSTGUG00000005108	FCNT	FTNT	146.176366304255	33.3422025062229	1.74159121669875	1.36953173015813e-11	1.48331699140544e-07
ENSTGUG00000005509	FCNT	FTNT	1080.34800655576	396.578131285686	1.13122065414535	4.17478235500471e-05	0.017966770287416
ENSTGUG00000005594	FCNT	FTNT	636.914027635023	453.310370039661	0.476056586469878	3.75662991718858e-05	0.0168643135083423
ENSTGUG00000005807	FCNT	FTNT	313.149667942464	634.029758382611	-0.894393491463249	4.39739586059733e-05	0.0186774359477724
ENSTGUG00000006018	FCNT	FTNT	298.539128607462	510.672562881779	-0.71314276986834	7.60689919503137e-05	0.0261552563063023
ENSTGUG00000006044	FCNT	FTNT	1541.4559999438	826.554201378406	0.795828701156522	0.000198258895605098	0.0482803016985921
ENSTGUG00000006180	FCNT	FTNT	30.2789490775884	77.5067038368471	-1.05632541856695	0.000148263424940737	0.0388503978619912
ENSTGUG00000006308	FCNT	FTNT	111.44381954135	23.8560053854942	1.36961886322502	2.43995336282514e-05	0.0133930398502627
ENSTGUG00000006392	FCNT	FTNT	81.142108462921	19.2431167650335	1.37332977253269	1.39970931141388e-05	0.0103363760911626
ENSTGUG00000006515	FCNT	FTNT	2358.10749020886	916.149946389465	1.18226997351213	2.07883542482838e-07	0.000547680296165797
ENSTGUG00000006669	FCNT	FTNT	231.553248567384	98.9939888155253	1.09131459904168	1.5909156993108e-07	0.00046993480327142
ENSTGUG00000006763	FCNT	FTNT	104.788965363961	46.2393467260736	0.990999604866171	4.66262262072967e-05	0.0192993968794979
ENSTGUG00000006920	FCNT	FTNT	1029.07039107073	236.250515923593	1.52798496831985	3.53586399855978e-07	0.000792338351539335
ENSTGUG00000007145	FCNT	FTNT	793.540616089536	313.016309262745	1.03991574247257	0.000201648677616967	0.0482803016985921
ENSTGUG00000007824	FCNT	FTNT	894.772035289399	2101.54890190794	-1.00904246682221	9.13078857921443e-05	0.0288040920301092
ENSTGUG00000007842	FCNT	FTNT	246.412856436951	399.666907190311	-0.65427052222507	6.73793977164046e-05	0.0243258342255586
ENSTGUG00000008015	FCNT	FTNT	1900.47488186719	4182.18308020448	-0.985127014933273	1.60584381051058e-05	0.0109848168448453
ENSTGUG00000008302	FCNT	FTNT	29.842017501175	148.466782869104	-1.37913013755026	2.55507086898566e-05	0.0133930398502627
ENSTGUG00000008311	FCNT	FTNT	7522.35422365549	3835.20593389125	0.844308189796821	0.000190660594011421	0.0474715659074029
ENSTGUG00000008598	FCNT	FTNT	480.956965729007	777.112189359434	-0.643342454476926	0.000177537595210509	0.0445968458832256
